Individual,Individual from RTR,Sample ID,Method,Buffalo,Canis lupus familiaris,Caracal,Cattle,Chital,Duck,Gazelle,Gyps fulvus,Junlgefowl,Leopard,Mus musculus,Nilgai,Primate,Sambar,Slothbear,Wildpig
Unknown,NA,1,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,NA,3,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Individual 10,NA,4,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Individual 10,NA,5,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Unknown,NA,6,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,NA,7,Metabarcoding,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,NA,8,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Individual 3,T62,9,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Unknown,NA,10,Metabarcoding,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Unknown,NA,11,Metabarcoding,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0
Unknown,NA,12,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,13,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Unknown,NA,14,Metabarcoding,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
Individual 17,NA,15,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Individual 6,NA,19,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Individual 16,T74,20,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,21,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Individual 1,NA,22,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,23,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,24,Metabarcoding,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Unknown,NA,26,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Unknown,NA,27,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Individual 15,NA,28,Metabarcoding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Unknown,NA,30,Metabarcoding,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,31,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Individual 2,NA,32,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,33,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,NA,34,Metabarcoding,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
Individual 20,NA,35,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,36,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,37,Metabarcoding,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Unknown,NA,40,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,41,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Unknown,NA,42,Metabarcoding,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,43,Metabarcoding,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0
Unknown,NA,44,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
