Sl,Nest,Species,Day,Mon,Seeds,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,5,2,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,7,3,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,10,4,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,13,5,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,16,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,19,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,22,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,25,9,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,28,10,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,31,11,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,34,12,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,37,13,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,40,14,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,43,15,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,46,16,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,49,17,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,52,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,55,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,58,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,61,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,64,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,33GH14,KH,67,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,5,2,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,7,3,17,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,10,4,16,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,13,5,16,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,16,6,16,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,19,7,16,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,22,8,16,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,25,9,16,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,28,10,15,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,31,11,15,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,34,12,14,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,37,13,10,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,40,14,10,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,43,15,10,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,46,16,10,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,49,17,10,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,52,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,55,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,58,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,61,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,64,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,7WH13,KH,67,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,5,2,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,7,3,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,10,4,19,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,13,5,19,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,16,6,19,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,19,7,19,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,22,8,19,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,25,9,18,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,28,10,18,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,31,11,14,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,34,12,14,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,37,13,12,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,40,14,12,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,43,15,12,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,46,16,12,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,49,17,10,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,52,18,7,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,55,19,7,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,58,20,7,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,61,21,7,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,64,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,9WH05,KH,67,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,5,2,8,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,7,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,10,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,13,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,16,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,19,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,22,8,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,25,9,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,28,10,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,31,11,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,34,12,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,37,13,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,40,14,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,43,15,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,46,16,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,49,17,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,52,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,55,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,58,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,61,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,64,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1WH01,KH,67,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,5,2,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,7,3,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,10,4,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,13,5,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,16,6,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,19,7,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,22,8,19,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,25,9,19,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,28,10,15,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,31,11,15,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,34,12,12,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,37,13,12,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,40,14,12,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,43,15,12,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,46,16,12,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,49,17,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,52,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,2WH02/GH01,KH,55,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
