Seed,Nest,Ini,Species,Speciesd,Day,Mon,Status
1,33GH14,20,KH,KH,19,6,1
2,33GH14,20,KH,KH,19,6,1
3,33GH14,20,KH,KH,19,6,1
4,33GH14,20,KH,KH,19,6,1
5,33GH14,20,KH,KH,19,6,1
6,33GH14,20,KH,KH,19,6,1
7,33GH14,20,KH,KH,19,6,1
8,33GH14,20,KH,KH,19,6,1
9,33GH14,20,KH,KH,19,6,1
10,33GH14,20,KH,KH,19,6,1
11,33GH14,20,KH,KH,19,6,1
12,33GH14,20,KH,KH,19,6,1
13,33GH14,20,KH,KH,19,6,1
14,33GH14,20,KH,KH,19,6,1
15,33GH14,20,KH,KH,19,6,1
16,33GH14,20,KH,KH,19,6,1
17,33GH14,20,KH,KH,19,6,1
18,33GH14,20,KH,KH,19,6,1
19,33GH14,20,KH,KH,37,13,1
20,33GH14,20,KH,KH,37,13,1
1,7WH13,20,KH,KH,7,3,1
2,7WH13,20,KH,KH,7,3,1
3,7WH13,20,KH,KH,7,3,1
4,7WH13,20,KH,KH,10,4,1
5,7WH13,20,KH,KH,28,10,1
6,7WH13,20,KH,KH,34,12,1
7,7WH13,20,KH,KH,37,13,1
8,7WH13,20,KH,KH,37,13,1
9,7WH13,20,KH,KH,37,13,1
10,7WH13,20,KH,KH,37,13,1
11,7WH13,20,KH,KH,52,18,1
12,7WH13,20,KH,KH,52,18,1
13,7WH13,20,KH,KH,52,18,1
14,7WH13,20,KH,KH,52,18,1
15,7WH13,20,KH,KH,52,18,1
16,7WH13,20,KH,KH,52,18,1
17,7WH13,20,KH,KH,52,18,1
18,7WH13,20,KH,KH,52,18,1
19,7WH13,20,KH,KH,52,18,1
20,7WH13,20,KH,KH,52,18,1
1,9WH05,20,KH,KH,10,4,1
2,9WH05,20,KH,KH,25,9,1
3,9WH05,20,KH,KH,31,11,1
4,9WH05,20,KH,KH,31,11,1
5,9WH05,20,KH,KH,31,11,1
6,9WH05,20,KH,KH,31,11,1
7,9WH05,20,KH,KH,37,13,1
8,9WH05,20,KH,KH,37,13,1
9,9WH05,20,KH,KH,49,17,1
10,9WH05,20,KH,KH,49,17,1
11,9WH05,20,KH,KH,52,18,1
12,9WH05,20,KH,KH,52,18,1
13,9WH05,20,KH,KH,52,18,1
14,9WH05,20,KH,KH,64,22,1
15,9WH05,20,KH,KH,64,22,1
16,9WH05,20,KH,KH,64,22,1
17,9WH05,20,KH,KH,64,22,1
18,9WH05,20,KH,KH,64,22,1
