Sr.no,Date,Nest ID,Status,Species,Seedling,Sapling,Pole,Total
1,29-05-10,10WH06,Sealed,AM,1,1,1,3
1,29-05-10,10WH06,Sealed,AS,0,0,0,0
1,29-05-10,10WH06,Sealed,BH,0,0,0,0
1,29-05-10,10WH06,Sealed,CA,2,3,0,5
1,29-05-10,10WH06,Sealed,CP,0,0,0,0
1,29-05-10,10WH06,Sealed,DB,2,1,4,7
1,29-05-10,10WH06,Sealed,JA,0,0,0,0
1,29-05-10,10WH06,Sealed,KH,10,3,0,13
1,29-05-10,10WH06,Sealed,LI,2,1,0,3
1,29-05-10,10WH06,Sealed,MO,0,0,0,0
1,29-05-10,10WH06,Sealed,MS,1,1,0,2
1,29-05-10,10WH06,Sealed,OT,0,0,0,0
1,29-05-10,10WH06,Sealed,RT,0,0,0,0
1,29-05-10,10WH06,Sealed,TO,0,0,0,0
2,29-05-10,12OPH02,Sealed,AM,0,1,0,1
2,29-05-10,12OPH02,Sealed,AS,0,0,0,0
2,29-05-10,12OPH02,Sealed,BH,2,0,0,2
2,29-05-10,12OPH02,Sealed,CA,5,2,0,7
2,29-05-10,12OPH02,Sealed,CP,4,2,0,6
2,29-05-10,12OPH02,Sealed,DB,23,3,0,26
2,29-05-10,12OPH02,Sealed,JA,0,3,0,3
2,29-05-10,12OPH02,Sealed,KH,15,5,1,21
2,29-05-10,12OPH02,Sealed,LI,16,0,0,16
2,29-05-10,12OPH02,Sealed,MO,0,1,0,1
2,29-05-10,12OPH02,Sealed,MS,0,0,0,0
2,29-05-10,12OPH02,Sealed,OT,0,0,0,0
2,29-05-10,12OPH02,Sealed,RT,0,0,0,0
2,29-05-10,12OPH02,Sealed,TO,0,0,0,0
3,29-05-10,13GH06,Sealed,AM,1,2,0,3
3,29-05-10,13GH06,Sealed,AS,0,0,0,0
3,29-05-10,13GH06,Sealed,BH,1,0,0,1
3,29-05-10,13GH06,Sealed,CA,1,1,0,2
3,29-05-10,13GH06,Sealed,CP,7,0,0,7
3,29-05-10,13GH06,Sealed,DB,7,0,0,7
3,29-05-10,13GH06,Sealed,JA,0,1,0,1
3,29-05-10,13GH06,Sealed,KH,5,5,6,16
3,29-05-10,13GH06,Sealed,LI,4,0,2,6
3,29-05-10,13GH06,Sealed,MO,0,0,0,0
3,29-05-10,13GH06,Sealed,MS,3,0,0,3
3,29-05-10,13GH06,Sealed,OT,0,0,0,0
