Sl,Season,Horn,Day,Species,Trap1,Trap2,Total
1WH01,1,WH,1,AM,0,0,0
1WH01,1,WH,1,AS,0,0,0
1WH01,1,WH,1,BH,0,0,0
1WH01,1,WH,1,CA,0,0,0
1WH01,1,WH,1,CP,0,0,0
1WH01,1,WH,1,DB,0,0,0
1WH01,1,WH,1,GK,0,0,0
1WH01,1,WH,1,KH,0,1,1
1WH01,1,WH,1,LI,0,0,0
1WH01,1,WH,1,RT,0,0,0
1WH01,1,WH,2,AM,0,0,0
1WH01,1,WH,2,AS,0,0,0
1WH01,1,WH,2,BH,0,0,0
1WH01,1,WH,2,CA,0,0,0
1WH01,1,WH,2,CP,1,0,1
1WH01,1,WH,2,DB,1,1,2
1WH01,1,WH,2,GK,0,0,0
1WH01,1,WH,2,KH,0,2,2
1WH01,1,WH,2,LI,0,0,0
1WH01,1,WH,2,RT,0,0,0
1WH01,1,WH,3,AM,0,0,0
1WH01,1,WH,3,AS,0,0,0
1WH01,1,WH,3,BH,0,0,0
1WH01,1,WH,3,CA,0,0,0
1WH01,1,WH,3,CP,0,3,3
1WH01,1,WH,3,DB,6,0,6
1WH01,1,WH,3,GK,0,0,0
1WH01,1,WH,3,KH,0,1,1
1WH01,1,WH,3,LI,0,0,0
1WH01,1,WH,3,RT,0,0,0
1WH01,1,WH,4,AM,0,0,0
1WH01,1,WH,4,AS,0,0,0
1WH01,1,WH,4,BH,0,0,0
1WH01,1,WH,4,CA,0,0,0
1WH01,1,WH,4,CP,0,0,0
1WH01,1,WH,4,DB,0,0,0
1WH01,1,WH,4,GK,0,0,0
1WH01,1,WH,4,KH,0,0,0
1WH01,1,WH,4,LI,0,0,0
1WH01,1,WH,4,RT,0,0,0
1WH01,1,WH,5,AM,0,0,0
1WH01,1,WH,5,AS,0,0,0
1WH01,1,WH,5,BH,0,0,0
1WH01,1,WH,5,CA,0,0,0
1WH01,1,WH,5,CP,0,0,0
1WH01,1,WH,5,DB,3,1,4
1WH01,1,WH,5,GK,0,0,0
1WH01,1,WH,5,KH,1,1,2
1WH01,1,WH,5,LI,0,0,0
1WH01,1,WH,5,RT,0,0,0
1WH01,1,WH,6,AM,0,0,0
1WH01,1,WH,6,AS,0,0,0
1WH01,1,WH,6,BH,0,0,0
1WH01,1,WH,6,CA,0,0,0
1WH01,1,WH,6,CP,5,1,6
1WH01,1,WH,6,DB,5,2,7
1WH01,1,WH,6,GK,0,0,0
1WH01,1,WH,6,KH,3,5,8
1WH01,1,WH,6,LI,0,0,0
1WH01,1,WH,6,RT,0,0,0
1WH01,1,WH,7,AM,0,0,0
1WH01,1,WH,7,AS,0,0,0
1WH01,1,WH,7,BH,0,0,0
1WH01,1,WH,7,CA,0,0,0
1WH01,1,WH,7,CP,2,1,3
1WH01,1,WH,7,DB,1,4,5
1WH01,1,WH,7,GK,0,0,0
1WH01,1,WH,7,KH,3,1,4
1WH01,1,WH,7,LI,0,0,0
1WH01,1,WH,7,RT,0,0,0
1WH01,1,WH,8,AM,1,0,1
1WH01,1,WH,8,AS,0,0,0
