species,family,type,seed.size.cat,dispersers,Mammals,Other,small birds,large birds,ungulate,bat,civet,primate,elephant,bear,rodent,wind,water,other mechanical,trees per ha,saplings per ha,saplings per tree
Ore.int,Urticaceae,fleshy,S,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,75,2.027027027
Gom.cor,Icacinaceae,fleshy,M,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,29,0,0
Syz.den,Myrtaceae,fleshy,M,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,175,6.25
Pal.ell,Sapotaceae,fleshy,L,3,3,0,0,0,0,1,1,1,0,0,0,0,0,0,26,0,0
Mes.fer,Clusiaceae,dry,L,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,24,100,4.166666667
Myr.dac,Myristicaceae,fleshy-aril,L,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,24,275,11.45833333
Ant.men,Stilaginaceae,fleshy,S,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,23,75,3.260869565
Lit.gla,Lauraceae,fleshy,M,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,23,1175,51.08695652
Cul.exa,Bombacaceae,dry-aril,L,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,22,25,1.136363636
Hol.nig,Anacardiaceae,fleshy,L,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,18,0,0
Dio.ass,Ebenaceae,fleshy,M,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,18,75,4.166666667
Bhe.ind,Celastraceae,fleshy-aril,L,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0
Mas.arb,Cornaceae,fleshy,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,50,3.333333333
Cry.bou,Lauraceae,fleshy,L,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,475,31.66666667
Pse.ana,Euphorbiaceae,dry,S,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,25,1.923076923
Dio.nil,Ebenaceae,fleshy,M,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,12,25,2.083333333
Cle.vis,Verbenaceae,fleshy,S,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,12,400,33.33333333
Art.het,Moraceae,fleshy,L,3,3,0,0,0,0,0,1,1,0,1,0,0,0,0,11,0,0
Dry.ela,Euphorbiaceae,fleshy,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Per.mac,Lauraceae,fleshy,L,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,10,225,22.5
Cal.aus,Clusiaceae,fleshy,L,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,25,3.125
Dim.lon,Sapindaceae,fleshy-aril,M,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,8,150,18.75
Neo.scr,Lauraceae,fleshy,M,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0
Aph.pol,Meliaceae,fleshy,L,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,75,10.71428571
Not.rac,Anacardiaceae,fleshy,S,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,75,10.71428571
Her.pop,Sterculiaceae,dry,M,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,175,25
Lit.bou,Lauraceae,fleshy,M,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,225,32.14285714
Can.dic,Rubiaceae,fleshy,S,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0
Gar.tal,Clusiaceae,fleshy-aril,M,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,25,4.166666667
Mea.ind,Myrsinaceae,fleshy,S,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,6,75,12.5
Sco.cre,Flacourtiaceae,fleshy,S,3,3,0,0,0,1,0,1,1,0,0,0,0,0,0,6,75,12.5
Cro.lac,Euphorbiaceae,dry,S,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Cas.rub,Flacourtiaceae,fleshy-aril,S,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,50,10
Lep.dec,Sapindaceae,dry,NA,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,50,10
Cin.sul,Lauraceae,fleshy,L,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,125,25
Ele.tub,Elaeocarpaceae,fleshy,L,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
Hyd.alp,Flacourtiaceae,fleshy,L,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
Mac.pel,Euphorbiaceae,dry,S,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,25,6.25
Agr.ind,Euphorbiaceae,dry,S,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,75,18.75
Agr.mee,Euphorbiaceae,dry,S,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0
Fic.bed,Moraceae,fleshy,S,4,4,0,0,0,0,1,1,1,0,0,1,0,0,0,3,0,0
Tur.mal,Staphylaceae,fleshy,S,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
Orm.tra,Papilionaceae,dry,L,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,25,8.333333333
Gar.mor,Clusiaceae,fleshy-aril,M,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,125,41.66666667
Ard.rha,Myrsinaceae,fleshy,S,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,450,150
Acr.ped,Rutaceae,fleshy,M,4,3,0,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0
Fic.tal,Moraceae,fleshy,S,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
Glo.ell,Euphorbiaceae,dry,S,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Fic.ner,Moraceae,fleshy,S,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,2,25,12.5
Mei.pan,Annonaceae,fleshy,S,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,25,12.5
