slno,tofro,via,date,total,type
AI0000092,BLR Y HYD,,04-Apr-13,4972,Air
AI0000092,HYD Y BLR,,04-Apr-13,5022,Air
AI0000145,BLR Y BOM,,03-Apr-13,6237,Air
AI0000145,BOM Y BLR,,05-Apr-13,8297,Air
AI0000187,BLR Y BOM,,06-Apr-13,6114,Air
AI0000187,BOM Y BLR,,05-Apr-13,6328,Air
AI0000413,BLR Y PNQ,,05-Apr-13,4732,Air
AI0000413,PNQ Y BLR,,05-Apr-13,4702,Air
AI0000415,BLR Y DEL,,04-Apr-13,11040,Air
RA0000001,BLR y MAA,,17-Apr-13,749,Rail
RA0000001,MAA Y BLR,,18-Apr-13,268,Rail
AI0000499,BOM Y BLR,,05-Apr-13,6682,Air
RA0000003,MAA Y BLR,,18-Apr-13,824,Rail
RA0000004,BLR y MAA,,24-Apr-13,954,Rail
RA0000004,MAA Y BLR,,26-Apr-13,824,Rail
AI0001213,IXC Y BOM,,09-Apr-13,8229,Air
AI0001386,DEL Y BLR,,10-Apr-13,9720,Air
AI0001442,BLR Y BOM,,09-Apr-13,6359,Air
AI0001442,BOM Y BLR,,09-Apr-13,6360,Air
RA0000005,BLR y MAA,,10-Apr-13,884,Rail
RA0000005,MAA Y BLR,,11-Apr-13,1504,Rail
RA0000006,MAA Y BLR,,18-Apr-13,824,Rail
RA0000007,BLR y MAA,,29-Apr-13,749,Rail
AI0001525,BLR Y BOM,,12-Apr-13,7512,Air
AI0002983,BOM y BLR,,12-Apr-13,6682,Air
AI0001564,BOM Y BLR,,11-Apr-13,7142,Air
AI0002274,BLR w BOM,,12-Apr-13,7829,Air
AI0002274,BOM u BLR,,15-Apr-13,7111,Air
AI0001702,AMD Y BOM,,16-Apr-13,4854,Air
AI0001702,BOM Y AMD,,15-Apr-13,5100,Air
AI0001739,BOM y BLR,,12-Apr-13,9877,Air
RA0000008,BLR y MAA,,24-Apr-13,749,Rail
RA0000008,MAA Y BLR,,25-Apr-13,824,Rail
