"","BD","DI","K","GH","LP","FG","JR","LH","LO","AM","Pre"
"1",194,60,255,0,0,106,84,0,0,0,"BD"
"2",7,141,62,0,0,0,0,42,0,0,"DI"
"3",84,0,452,0,0,0,41,0,0,0,"K"
"4",7,0,0,0,0,0,0,0,0,0,"TB"
"5",40,0,21,0,0,0,22,0,0,0,"KC"
"6",12,0,0,36,0,0,0,55,0,0,"GH"
"7",21,0,38,0,61,0,0,0,22,0,"LP"
"8",5,0,40,0,0,0,14,0,0,0,"HC"
"9",9,0,0,0,0,0,0,0,0,0,"BJ"
"10",46,0,12,0,31,62,0,5,0,0,"FG"
"11",5,0,16,0,0,0,0,0,0,0,"MI"
"12",21,0,0,0,0,0,0,0,0,0,"AL"
"13",0,0,0,0,0,0,0,0,0,0,"HS"
"14",0,4,25,0,0,0,0,0,0,0,"MP"
"15",0,0,40,0,0,0,0,0,0,0,"SM"
"16",0,0,5,0,0,0,0,0,0,0,"Bb"
"17",0,0,29,0,0,0,0,0,0,0,"PA"
"18",18,0,165,0,0,0,0,0,0,0,"BK"
"19",0,0,0,0,0,0,0,0,0,0,"TC"
"20",0,5,0,0,0,0,0,0,0,0,"PC"
"21",0,22,0,0,0,0,0,0,0,0,"BT"
"22",0,0,9,0,0,0,0,0,0,0,"PI"
"23",0,0,17,0,0,0,0,0,0,0,"ML"
"24",0,0,20,0,0,0,128,0,0,0,"JR"
"25",22,0,0,0,0,0,97,0,0,0,"TL"
"26",0,0,27,164,0,0,0,0,0,0,"MU"
"27",0,0,42,28,0,0,0,0,0,0,"UK"
"28",0,0,23,8,0,0,0,0,0,0,"Li"
"29",0,0,0,0,0,0,0,15,0,0,"LH"
"30",0,0,0,0,0,0,0,0,0,0,"MJ"
"31",0,0,26,0,0,0,0,0,0,0,"GA"
"32",0,0,53,0,0,0,0,0,0,0,"BM"
"33",0,0,0,0,7,0,0,0,0,4,"BG"
"34",0,0,0,0,17,0,0,0,5,0,"LO"
"35",0,0,0,0,14,0,0,0,35,0,"GL"
"36",0,0,0,0,64,0,0,0,0,0,"HL"
"37",0,0,0,0,0,0,0,0,0,4,"AM"
"38",27,0,0,0,0,0,0,0,0,0,"JL"
