"","BD","DI","K","GH","LP","FG","JR","LH","LO","AM","Pre"
"1",20,1,18,0,0,2,3,0,0,0,"BD"
"2",1,4,4,0,0,0,0,1,0,0,"DI"
"3",13,0,25,0,0,0,4,0,0,0,"K"
"4",2,0,0,0,0,0,0,0,0,0,"TB"
"5",4,0,1,0,0,0,2,0,0,0,"KC"
"6",2,0,0,2,0,0,0,2,0,0,"GH"
"7",3,0,6,0,4,0,0,0,1,0,"LP"
"8",2,0,2,0,0,0,1,0,0,0,"HC"
"9",1,0,0,0,0,0,0,0,0,0,"BJ"
"10",2,0,1,0,2,3,0,1,0,0,"FG"
"11",1,0,1,0,0,0,0,0,0,0,"MI"
"12",2,0,0,0,0,0,0,0,0,0,"AL"
"13",0,0,0,0,0,0,0,0,0,0,"HS"
"14",0,1,2,0,0,0,0,0,0,0,"MP"
"15",0,0,1,0,0,0,0,0,0,0,"SM"
"16",0,0,1,0,0,0,0,0,0,0,"Bb"
"17",0,0,1,0,0,0,0,0,0,0,"PA"
"18",2,0,5,0,0,0,0,0,0,0,"BK"
"19",0,0,0,0,0,0,0,0,0,0,"TC"
"20",0,1,0,0,0,0,0,0,0,0,"PC"
"21",0,1,0,0,0,0,0,0,0,0,"BT"
"22",0,0,1,0,0,0,0,0,0,0,"PI"
"23",0,0,1,0,0,0,0,0,0,0,"ML"
"24",0,0,2,0,0,0,5,0,0,0,"JR"
"25",1,0,0,0,0,0,3,0,0,0,"TL"
"26",0,0,1,3,0,0,0,0,0,0,"MU"
"27",0,0,1,1,0,0,0,0,0,0,"UK"
"28",0,0,1,1,0,0,0,0,0,0,"Li"
"29",0,0,0,0,0,0,0,1,0,0,"LH"
"30",0,0,0,0,0,0,0,0,0,0,"MJ"
"31",0,0,1,0,0,0,0,0,0,0,"GA"
"32",0,0,1,0,0,0,0,0,0,0,"BM"
"33",0,0,0,0,1,0,0,0,0,1,"BG"
"34",0,0,0,0,1,0,0,0,1,0,"LO"
"35",0,0,0,0,1,0,0,0,3,0,"GL"
"36",0,0,0,0,2,0,0,0,0,0,"HL"
"37",0,0,0,0,0,0,0,0,0,1,"AM"
"38",2,0,0,0,0,0,0,0,0,0,"JL"
