T Line,Point,Trial,Creek Dist ,Mouth Dist ,Predation,Depth,Structure
1,1,1,0,100,1,48.6,0
1,2,1,0,75,1,60.2,0
1,3,1,0,50,0,74.8,0
1,4,1,0,25,1,90,0
1,5,1,0,5,1,104,0
1,1,2,0,100,0,49.2,0
1,2,2,0,75,1,63.5,0
1,3,2,0,50,1,78.2,0
1,4,2,0,25,1,95.4,0
1,5,2,0,5,1,106,0
2,1,1,25,100,0,38.1,1
2,2,1,25,75,1,40.4,1
2,3,1,25,50,0,54,1
2,4,1,25,25,1,72.8,1
2,5,1,25,5,1,93.4,1
3,1,1,25,100,0,40.4,2
3,2,1,25,75,0,47.9,2
3,3,1,25,50,1,58,2
3,4,1,25,25,1,75.8,2
3,5,1,25,5,1,90,2
2,1,2,25,100,1,28.4,1
2,2,2,25,75,0,32.9,1
2,3,2,25,50,1,48.1,1
2,4,2,25,25,0,57,1
2,5,2,25,5,1,62,1
3,1,2,25,100,1,28,2
3,2,2,25,75,1,35,2
3,3,2,25,50,0,49,2
3,4,2,25,25,1,64,2
3,5,2,25,5,1,68,2
4,1,1,50,100,0,34.8,2
4,2,1,50,75,0,40.3,2
4,3,1,50,50,1,50.6,2
4,4,1,50,25,1,60.4,2
4,5,1,50,5,1,66.8,2
5,1,1,75,100,0,30.2,1
5,2,1,75,75,0,35,1
5,3,1,75,50,0,45.4,1
5,4,1,75,25,0,50,1
5,5,1,75,5,1,60.3,1
4,1,2,50,100,0,45.4,2
4,2,2,50,75,0,50.6,2
4,3,2,50,50,1,61.5,2
4,4,2,50,25,1,70,2
4,5,2,50,5,1,78,2
5,1,2,75,100,0,43,1
5,2,2,75,75,0,49.2,1
5,3,2,75,50,1,58,1
5,4,2,75,25,0,64,1
5,5,2,75,5,1,68.1,1
6,1,1,100,100,0,42,2
6,2,1,100,75,0,45,2
6,3,1,100,50,0,50,2
6,4,1,100,25,1,71.2,2
6,5,1,100,5,1,80,2
7,1,1,150,100,0,43,2
7,2,1,150,75,0,47.9,2
7,3,1,150,50,0,51,2
7,4,1,150,25,0,53,2
7,5,1,150,5,1,60,2
6,1,2,100,100,0,46,2
6,2,2,100,75,0,48,2
6,3,2,100,50,1,52.2,2
6,4,2,100,25,0,74.3,2
6,5,2,100,5,0,82,2
7,1,2,150,100,0,45,2
7,2,2,150,75,0,50.1,2
7,3,2,150,50,0,52,2
7,4,2,150,25,0,58,2
7,5,2,150,5,0,63.2,2
1,1,3,0,100,0,38.2,0
1,2,3,0,75,0,49.1,0
1,3,3,0,50,0,56.8,0
1,4,3,0,25,1,69.1,0
1,5,3,0,5,1,73.4,0
2,1,3,25,100,0,28.8,1
2,2,3,25,75,0,39.6,1
2,3,3,25,50,1,48,1
2,4,3,25,25,1,55,1
2,5,3,25,5,1,62,1
3,1,3,25,100,0,34,2
3,2,3,25,75,0,40,2
3,3,3,25,50,1,48.7,2
3,4,3,25,25,1,54,2
3,5,3,25,5,1,58.1,2
4,1,3,50,100,0,28,2
4,2,3,50,75,0,34.2,2
4,3,3,50,50,0,46,2
4,4,3,50,25,0,50,2
4,5,3,50,5,0,56.9,2
5,1,3,75,100,0,23,1
5,2,3,75,75,0,27,1
5,3,3,75,50,0,32.4,1
5,4,3,75,25,0,40.1,1
5,5,3,75,5,1,48,1
6,1,3,100,100,0,20,2
6,2,3,100,75,0,25,2
6,3,3,100,50,0,29.8,2
6,4,3,100,25,0,31.2,2
6,5,3,100,5,0,40,2
7,1,3,150,100,0,18,2
7,2,3,150,75,0,21,2
7,3,3,150,50,0,27,2
7,4,3,150,25,0,33.6,2
7,5,3,150,5,0,37,2
