"","Grid.No","Plot.No","Family","Species","Size","Max.Length","Type","Creek","Canopy","Depth","Density","Mouth","Salinity","Crab","Spread","CM","Class","count"
"1",1,1,NA,NA,0,0,NA,180.76,95.06,15,27.28571429,267.75,30.8,9,0.556905,136.52,0,1
"2",1,2,NA,NA,0,0,NA,200.38,95.58,10,15.85714286,274.07,30.8,1,0.803840577,143.62,0,1
"3",1,3,NA,NA,0,0,NA,167.37,83.88,9.8,25,247.21,30.8,1,0.447213595,136.11,0,1
"4",1,4,NA,NA,0,0,NA,170.3,92.98,9,21.14285714,224.38,30.8,4,1.107682296,138.6,0,1
"5",1,5,NA,NA,0,0,NA,265.15,94.8,29,8.571428571,291.1,30.8,1,1.338462357,143.11,0,1
"6",2,1,"Eleotrididae","Butis butis",5.34,15,"E",124.98,93.5,7,10.71428571,272.72,30.8,9,0.312883838,505.36,6,1
"7",2,1,"Eleotrididae","Butis butis",4.94,15,"E",124.98,93.5,7,10.71428571,272.72,30.8,9,0.312883838,505.36,6,1
"8",2,1,"Sygnathidae","Halicampus grayii",5.28,20,"E",124.98,93.5,7,10.71428571,272.72,30.8,9,0.312883838,505.36,6,1
"9",2,2,"Apogonidae","Apogon amboinensis",4.29,7,"E",96.98,95.32,6,37.14285714,295.52,30.8,2,0.297549161,535.49,6,1
"10",2,2,"Eleotrididae","Butis butis",14.55,15,"E",96.98,95.32,6,37.14285714,295.52,30.8,2,0.297549161,535.49,16,1
"11",2,3,"Gobidae","Gobidae",1,0,"E",120.94,95.06,14,18.42857143,161.85,30.8,2,0.576708065,473.46,2,1
"12",2,3,"Gobidae","Gobidae",1,0,"E",120.94,95.06,14,18.42857143,161.85,30.8,2,0.576708065,473.46,2,1
"13",2,4,"Apogonidae","Apogon hyalosoma",5,17,"E",96.48,86.22,18,16.57142857,275.8,30.8,0,0.677240999,470.94,6,1
"14",2,5,"Eleotrididae","Eleotris fusca",22,26,"E",126.17,61.52,13,13.14285714,266.94,30.8,0,0.652204106,553,22,1
"15",3,1,"Hemiramphidae","Zenarchopterus dispar",10.6,19,"E",81.36,94.8,55,77.28571429,204.95,40.81,0,0.288814664,144.92,12,1
"16",3,1,"Gobidae","Acentrogobius caninus",5.87,13,"E",81.36,94.8,55,77.28571429,204.95,40.81,0,0.288814664,144.92,6,1
"17",3,1,"Gobidae","Acentrogobius caninus",6.79,13,"E",81.36,94.8,55,77.28571429,204.95,40.81,0,0.288814664,144.92,8,1
"18",3,1,"Gobidae","Glosogobius",9.55,0,"E",81.36,94.8,55,77.28571429,204.95,40.81,0,0.288814664,144.92,10,1
"19",3,1,"Eleotrididae","Butis butis",9.92,15,"E",81.36,94.8,55,77.28571429,204.95,40.81,0,0.288814664,144.92,10,1
"20",3,1,"Horaichthyidae","Horaichthyidae",2,3,"E",81.36,94.8,55,77.28571429,204.95,40.81,0,0.288814664,144.92,2,1
"21",3,1,"Horaichthyidae","Horaichthyidae",2,3,"E",81.36,94.8,55,77.28571429,204.95,40.81,0,0.288814664,144.92,2,1
"22",3,1,"Horaichthyidae","Horaichthyidae",2,3,"E",81.36,94.8,55,77.28571429,204.95,40.81,0,0.288814664,144.92,2,1
"23",3,2,"Apogonidae","Apogon hyalosoma",12,17,"E",95.92,98.7,40,79.14285714,227.54,40.81,0,0.108798507,465.26,12,1
"24",3,2,"Apogonidae","Apogon hyalosoma",10,17,"E",95.92,98.7,40,79.14285714,227.54,40.81,0,0.108798507,465.26,10,1
"25",3,2,"Apogonidae","Apogon hyalosoma",8,17,"E",95.92,98.7,40,79.14285714,227.54,40.81,0,0.108798507,465.26,8,1
"26",3,2,"Siganidae","Siganus lineatus",8.43,43,"R",95.92,98.7,40,79.14285714,227.54,40.81,0,0.108798507,465.26,10,1
"27",3,2,"Gobidae","Acentrogobius caninus",1,13,"E",95.92,98.7,40,79.14285714,227.54,40.81,0,0.108798507,465.26,2,1
"28",3,2,"Gobidae","Acentrogobius caninus",1,13,"E",95.92,98.7,40,79.14285714,227.54,40.81,0,0.108798507,465.26,2,1
"29",3,3,"Gobidae","Acentrogobius caninus",1,13,"E",52.69,95.38,50,70.85714286,96.88,40.81,0,0.084059123,144.91,2,1
"30",3,3,"Gobidae","Acentrogobius caninus",1,13,"E",52.69,95.38,50,70.85714286,96.88,40.81,0,0.084059123,144.91,2,1
"31",3,3,"Gobidae","Acentrogobius caninus",1,13,"E",52.69,95.38,50,70.85714286,96.88,40.81,0,0.084059123,144.91,2,1
"32",3,3,"Gobidae","Acentrogobius caninus",1,13,"E",52.69,95.38,50,70.85714286,96.88,40.81,0,0.084059123,144.91,2,1
"33",3,4,"Gobidae","Acentrogobius caninus",1,13,"E",93.9,91.68,60,82.71428571,212.19,40.81,0,0.141286089,157.89,2,1
"34",3,4,"Gobidae","Acentrogobius caninus",1,13,"E",93.9,91.68,60,82.71428571,212.19,40.81,0,0.141286089,157.89,2,1
"35",3,4,"Apogonidae","Apogon amboinensis",5.5,7,"E",93.9,91.68,60,82.71428571,212.19,40.81,0,0.141286089,157.89,6,1
"36",3,5,"Gobidae","Glosogobius",4.6,0,"E",80.74,75.56,50,55.28571429,194.38,40.81,0,0.065811202,142.83,6,1
"37",3,5,"Eleotrididae","Butis butis",5,15,"E",80.74,75.56,50,55.28571429,194.38,40.81,0,0.065811202,142.83,6,1
"38",3,5,"Eleotrididae","Butis butis",2.8,15,"E",80.74,75.56,50,55.28571429,194.38,40.81,0,0.065811202,142.83,4,1
"39",3,5,"Eleotrididae","Butis butis",2.5,15,"E",80.74,75.56,50,55.28571429,194.38,40.81,0,0.065811202,142.83,4,1
"40",3,5,"Gobidae","Acentrogobius sp",2.5,0,"E",80.74,75.56,50,55.28571429,194.38,40.81,0,0.065811202,142.83,4,1
"41",3,5,"Gobidae","Acentrogobius sp",2.5,0,"E",80.74,75.56,50,55.28571429,194.38,40.81,0,0.065811202,142.83,4,1
"42",4,1,"Tetradontidae","Arothron hispidus",15,50,"R",35.65,95.32,20.6,15.14285714,244.6,35.81,0,0.955783455,496.88,16,1
"43",4,1,"Gobidae","Acentrogobius sp",1,0,"E",35.65,95.32,20.6,15.14285714,244.6,35.81,0,0.955783455,496.88,2,1
"44",4,1,"Gobidae","Acentrogobius sp",1,0,"E",35.65,95.32,20.6,15.14285714,244.6,35.81,0,0.955783455,496.88,2,1
"45",4,1,"Gobidae","Acentrogobius sp",1,0,"E",35.65,95.32,20.6,15.14285714,244.6,35.81,0,0.955783455,496.88,2,1
"46",4,2,NA,NA,0,0,NA,15.74,95.84,50.6,20.14285714,273.36,35.81,0,0.5994761,537.4,0,1
"47",4,3,NA,NA,0,0,NA,5.77,93.24,80.4,28.42857143,302.92,35.81,0,0.447650045,547.23,0,1
"48",4,4,"Siganidae","Siganus vermiculatus",20.94,45,"R",5.19,79.2,70,30,282.74,35.81,0,0.625980712,518.07,22,1
"49",4,4,"Siganidae","Siganus vermiculatus",22.28,45,"R",5.19,79.2,70,30,282.74,35.81,0,0.625980712,518.07,24,1
"50",4,4,"Siganidae","Siganus vermiculatus",21.12,45,"R",5.19,79.2,70,30,282.74,35.81,0,0.625980712,518.07,22,1
"51",4,4,"Eleotrididae","Eleotris fusca",20,26,"E",5.19,79.2,70,30,282.74,35.81,0,0.625980712,518.07,20,1
"52",4,5,"Hemiramphidae","Zenarchopterus dispar",14.29,19,"E",36.33,71.14,50.2,27.14285714,273.53,35.81,1,1.005465213,513.89,16,1
"53",4,5,"Eleotrididae","Eleotris fusca",18,26,"E",36.33,71.14,50.2,27.14285714,273.53,35.81,1,1.005465213,513.89,18,1
"54",5,1,"Gobidae","Acentrogobius sp",4,0,"E",92.39,63.6,25,13.71428571,359.17,30.8,0,0.736078354,534.74,4,1
