"","plot","species","abd","canopy","depth","density","creek","size"
"1",1,"Butis butis",0,95.06,15,27.28571429,180.76,NA
"2",1,"Halicampus grayii",0,95.06,15,27.28571429,180.76,NA
"3",1,"Apogon amboinensis",0,95.06,15,27.28571429,180.76,NA
"4",1,"Gobidae",0,95.06,15,27.28571429,180.76,NA
"5",1,"Apogon hyalosoma",0,95.06,15,27.28571429,180.76,NA
"6",1,"Eleotris fusca",0,95.06,15,27.28571429,180.76,NA
"7",1,"Zenarchopterus dispar",0,95.06,15,27.28571429,180.76,NA
"8",1,"Acentrogobius caninus",0,95.06,15,27.28571429,180.76,NA
"9",1,"Glosogobius",0,95.06,15,27.28571429,180.76,NA
"10",1,"Horaichthyidae",0,95.06,15,27.28571429,180.76,NA
"11",1,"Siganus lineatus",0,95.06,15,27.28571429,180.76,NA
"12",1,"Acentrogobius sp",0,95.06,15,27.28571429,180.76,NA
"13",1,"Arothron hispidus",0,95.06,15,27.28571429,180.76,NA
"14",1,"Siganus vermiculatus",0,95.06,15,27.28571429,180.76,NA
"15",1,"Bostrychus sinensis",0,95.06,15,27.28571429,180.76,NA
"16",1,"Toxotes jaculatrix",0,95.06,15,27.28571429,180.76,NA
"17",1,"Strongylura leiura",0,95.06,15,27.28571429,180.76,NA
"18",1,"Liza macrolepsis",0,95.06,15,27.28571429,180.76,NA
"19",1,"Scatophagus argus",0,95.06,15,27.28571429,180.76,NA
"20",1,"Gerres limbatus",0,95.06,15,27.28571429,180.76,NA
"21",1,"Orange fish",0,95.06,15,27.28571429,180.76,NA
"22",1,"Apogonidae 3",0,95.06,15,27.28571429,180.76,NA
"23",1,"Lutjanus argentimaculatus",0,95.06,15,27.28571429,180.76,NA
"24",1,"Caranx sexfasciatus",0,95.06,15,27.28571429,180.76,NA
"25",1,"Sphaeramia orbicularis",0,95.06,15,27.28571429,180.76,NA
"26",1,"Chanos chanos",0,95.06,15,27.28571429,180.76,NA
"27",1,"Plectorhinchus gibbosus",0,95.06,15,27.28571429,180.76,NA
"28",1,"Lutjanus fulviflamma",0,95.06,15,27.28571429,180.76,NA
"29",1,"Tetradontidae",0,95.06,15,27.28571429,180.76,NA
"30",2,"Butis butis",0,95.58,10,15.85714286,200.38,NA
"31",2,"Halicampus grayii",0,95.58,10,15.85714286,200.38,NA
"32",2,"Apogon amboinensis",0,95.58,10,15.85714286,200.38,NA
"33",2,"Gobidae",0,95.58,10,15.85714286,200.38,NA
"34",2,"Apogon hyalosoma",0,95.58,10,15.85714286,200.38,NA
"35",2,"Eleotris fusca",0,95.58,10,15.85714286,200.38,NA
"36",2,"Zenarchopterus dispar",0,95.58,10,15.85714286,200.38,NA
"37",2,"Acentrogobius caninus",0,95.58,10,15.85714286,200.38,NA
"38",2,"Glosogobius",0,95.58,10,15.85714286,200.38,NA
"39",2,"Horaichthyidae",0,95.58,10,15.85714286,200.38,NA
"40",2,"Siganus lineatus",0,95.58,10,15.85714286,200.38,NA
"41",2,"Acentrogobius sp",0,95.58,10,15.85714286,200.38,NA
"42",2,"Arothron hispidus",0,95.58,10,15.85714286,200.38,NA
"43",2,"Siganus vermiculatus",0,95.58,10,15.85714286,200.38,NA
"44",2,"Bostrychus sinensis",0,95.58,10,15.85714286,200.38,NA
"45",2,"Toxotes jaculatrix",0,95.58,10,15.85714286,200.38,NA
"46",2,"Strongylura leiura",0,95.58,10,15.85714286,200.38,NA
"47",2,"Liza macrolepsis",0,95.58,10,15.85714286,200.38,NA
"48",2,"Scatophagus argus",0,95.58,10,15.85714286,200.38,NA
"49",2,"Gerres limbatus",0,95.58,10,15.85714286,200.38,NA
"50",2,"Orange fish",0,95.58,10,15.85714286,200.38,NA
"51",2,"Apogonidae 3",0,95.58,10,15.85714286,200.38,NA
"52",2,"Lutjanus argentimaculatus",0,95.58,10,15.85714286,200.38,NA
"53",2,"Caranx sexfasciatus",0,95.58,10,15.85714286,200.38,NA
"54",2,"Sphaeramia orbicularis",0,95.58,10,15.85714286,200.38,NA
"55",2,"Chanos chanos",0,95.58,10,15.85714286,200.38,NA
"56",2,"Plectorhinchus gibbosus",0,95.58,10,15.85714286,200.38,NA
"57",2,"Lutjanus fulviflamma",0,95.58,10,15.85714286,200.38,NA
"58",2,"Tetradontidae",0,95.58,10,15.85714286,200.38,NA
"59",3,"Butis butis",0,83.88,9.8,25,167.37,NA
"60",3,"Halicampus grayii",0,83.88,9.8,25,167.37,NA
"61",3,"Apogon amboinensis",0,83.88,9.8,25,167.37,NA
"62",3,"Gobidae",0,83.88,9.8,25,167.37,NA
"63",3,"Apogon hyalosoma",0,83.88,9.8,25,167.37,NA
"64",3,"Eleotris fusca",0,83.88,9.8,25,167.37,NA
"65",3,"Zenarchopterus dispar",0,83.88,9.8,25,167.37,NA
"66",3,"Acentrogobius caninus",0,83.88,9.8,25,167.37,NA
"67",3,"Glosogobius",0,83.88,9.8,25,167.37,NA
"68",3,"Horaichthyidae",0,83.88,9.8,25,167.37,NA
"69",3,"Siganus lineatus",0,83.88,9.8,25,167.37,NA
"70",3,"Acentrogobius sp",0,83.88,9.8,25,167.37,NA
"71",3,"Arothron hispidus",0,83.88,9.8,25,167.37,NA
"72",3,"Siganus vermiculatus",0,83.88,9.8,25,167.37,NA
"73",3,"Bostrychus sinensis",0,83.88,9.8,25,167.37,NA
"74",3,"Toxotes jaculatrix",0,83.88,9.8,25,167.37,NA
"75",3,"Strongylura leiura",0,83.88,9.8,25,167.37,NA
"76",3,"Liza macrolepsis",0,83.88,9.8,25,167.37,NA
"77",3,"Scatophagus argus",0,83.88,9.8,25,167.37,NA
"78",3,"Gerres limbatus",0,83.88,9.8,25,167.37,NA
"79",3,"Orange fish",0,83.88,9.8,25,167.37,NA
"80",3,"Apogonidae 3",0,83.88,9.8,25,167.37,NA
"81",3,"Lutjanus argentimaculatus",0,83.88,9.8,25,167.37,NA
"82",3,"Caranx sexfasciatus",0,83.88,9.8,25,167.37,NA
"83",3,"Sphaeramia orbicularis",0,83.88,9.8,25,167.37,NA
"84",3,"Chanos chanos",0,83.88,9.8,25,167.37,NA
"85",3,"Plectorhinchus gibbosus",0,83.88,9.8,25,167.37,NA
"86",3,"Lutjanus fulviflamma",0,83.88,9.8,25,167.37,NA
"87",3,"Tetradontidae",0,83.88,9.8,25,167.37,NA
"88",4,"Butis butis",0,92.98,9,21.14285714,170.3,NA
"89",4,"Halicampus grayii",0,92.98,9,21.14285714,170.3,NA
"90",4,"Apogon amboinensis",0,92.98,9,21.14285714,170.3,NA
"91",4,"Gobidae",0,92.98,9,21.14285714,170.3,NA
"92",4,"Apogon hyalosoma",0,92.98,9,21.14285714,170.3,NA
"93",4,"Eleotris fusca",0,92.98,9,21.14285714,170.3,NA
"94",4,"Zenarchopterus dispar",0,92.98,9,21.14285714,170.3,NA
"95",4,"Acentrogobius caninus",0,92.98,9,21.14285714,170.3,NA
"96",4,"Glosogobius",0,92.98,9,21.14285714,170.3,NA
"97",4,"Horaichthyidae",0,92.98,9,21.14285714,170.3,NA
"98",4,"Siganus lineatus",0,92.98,9,21.14285714,170.3,NA
"99",4,"Acentrogobius sp",0,92.98,9,21.14285714,170.3,NA
"100",4,"Arothron hispidus",0,92.98,9,21.14285714,170.3,NA
"101",4,"Siganus vermiculatus",0,92.98,9,21.14285714,170.3,NA
"102",4,"Bostrychus sinensis",0,92.98,9,21.14285714,170.3,NA
"103",4,"Toxotes jaculatrix",0,92.98,9,21.14285714,170.3,NA
"104",4,"Strongylura leiura",0,92.98,9,21.14285714,170.3,NA
"105",4,"Liza macrolepsis",0,92.98,9,21.14285714,170.3,NA
"106",4,"Scatophagus argus",0,92.98,9,21.14285714,170.3,NA
"107",4,"Gerres limbatus",0,92.98,9,21.14285714,170.3,NA
"108",4,"Orange fish",0,92.98,9,21.14285714,170.3,NA
"109",4,"Apogonidae 3",0,92.98,9,21.14285714,170.3,NA
"110",4,"Lutjanus argentimaculatus",0,92.98,9,21.14285714,170.3,NA
"111",4,"Caranx sexfasciatus",0,92.98,9,21.14285714,170.3,NA
"112",4,"Sphaeramia orbicularis",0,92.98,9,21.14285714,170.3,NA
"113",4,"Chanos chanos",0,92.98,9,21.14285714,170.3,NA
"114",4,"Plectorhinchus gibbosus",0,92.98,9,21.14285714,170.3,NA
"115",4,"Lutjanus fulviflamma",0,92.98,9,21.14285714,170.3,NA
"116",4,"Tetradontidae",0,92.98,9,21.14285714,170.3,NA
"117",5,"Butis butis",0,94.8,29,8.571428571,265.15,NA
"118",5,"Halicampus grayii",0,94.8,29,8.571428571,265.15,NA
"119",5,"Apogon amboinensis",0,94.8,29,8.571428571,265.15,NA
"120",5,"Gobidae",0,94.8,29,8.571428571,265.15,NA
"121",5,"Apogon hyalosoma",0,94.8,29,8.571428571,265.15,NA
"122",5,"Eleotris fusca",0,94.8,29,8.571428571,265.15,NA
"123",5,"Zenarchopterus dispar",0,94.8,29,8.571428571,265.15,NA
"124",5,"Acentrogobius caninus",0,94.8,29,8.571428571,265.15,NA
"125",5,"Glosogobius",0,94.8,29,8.571428571,265.15,NA
"126",5,"Horaichthyidae",0,94.8,29,8.571428571,265.15,NA
"127",5,"Siganus lineatus",0,94.8,29,8.571428571,265.15,NA
"128",5,"Acentrogobius sp",0,94.8,29,8.571428571,265.15,NA
"129",5,"Arothron hispidus",0,94.8,29,8.571428571,265.15,NA
"130",5,"Siganus vermiculatus",0,94.8,29,8.571428571,265.15,NA
"131",5,"Bostrychus sinensis",0,94.8,29,8.571428571,265.15,NA
"132",5,"Toxotes jaculatrix",0,94.8,29,8.571428571,265.15,NA
"133",5,"Strongylura leiura",0,94.8,29,8.571428571,265.15,NA
"134",5,"Liza macrolepsis",0,94.8,29,8.571428571,265.15,NA
"135",5,"Scatophagus argus",0,94.8,29,8.571428571,265.15,NA
"136",5,"Gerres limbatus",0,94.8,29,8.571428571,265.15,NA
"137",5,"Orange fish",0,94.8,29,8.571428571,265.15,NA
"138",5,"Apogonidae 3",0,94.8,29,8.571428571,265.15,NA
"139",5,"Lutjanus argentimaculatus",0,94.8,29,8.571428571,265.15,NA
"140",5,"Caranx sexfasciatus",0,94.8,29,8.571428571,265.15,NA
"141",5,"Sphaeramia orbicularis",0,94.8,29,8.571428571,265.15,NA
"142",5,"Chanos chanos",0,94.8,29,8.571428571,265.15,NA
"143",5,"Plectorhinchus gibbosus",0,94.8,29,8.571428571,265.15,NA
"144",5,"Lutjanus fulviflamma",0,94.8,29,8.571428571,265.15,NA
"145",5,"Tetradontidae",0,94.8,29,8.571428571,265.15,NA
"146",6,"Butis butis",2,93.5,7,10.71428571,124.98,5.14
"147",6,"Halicampus grayii",1,93.5,7,10.71428571,124.98,5.28
"148",6,"Apogon amboinensis",0,93.5,7,10.71428571,124.98,NA
"149",6,"Gobidae",0,93.5,7,10.71428571,124.98,NA
"150",6,"Apogon hyalosoma",0,93.5,7,10.71428571,124.98,NA
"151",6,"Eleotris fusca",0,93.5,7,10.71428571,124.98,NA
"152",6,"Zenarchopterus dispar",0,93.5,7,10.71428571,124.98,NA
"153",6,"Acentrogobius caninus",0,93.5,7,10.71428571,124.98,NA
"154",6,"Glosogobius",0,93.5,7,10.71428571,124.98,NA
"155",6,"Horaichthyidae",0,93.5,7,10.71428571,124.98,NA
"156",6,"Siganus lineatus",0,93.5,7,10.71428571,124.98,NA
"157",6,"Acentrogobius sp",0,93.5,7,10.71428571,124.98,NA
"158",6,"Arothron hispidus",0,93.5,7,10.71428571,124.98,NA
"159",6,"Siganus vermiculatus",0,93.5,7,10.71428571,124.98,NA
"160",6,"Bostrychus sinensis",0,93.5,7,10.71428571,124.98,NA
