grid ,plot,density,canopy ,depth ,creek,abd,richness
1,3,25,83.88,9.8,167.37,0,0
1,4,21.14285714,92.98,9,170.3,0,0
1,1,27.28571429,95.06,15,180.76,0,0
1,2,15.85714286,95.58,10,200.38,0,0
1,5,8.571428571,94.8,29,265.15,0,0
2,4,16.57142857,86.22,18,96.48,1,1
2,2,37.14285714,95.32,6,96.98,2,2
2,3,18.42857143,95.06,14,120.94,2,1
2,1,10.71428571,93.5,7,124.98,3,2
2,5,13.14285714,61.52,13,126.17,1,1
3,3,70.85714286,95.38,50,52.69,4,1
3,5,55.28571429,75.56,50,80.74,6,2
3,1,77.28571429,94.8,55,81.36,8,5
3,4,82.71428571,91.68,60,93.9,3,2
3,2,79.14285714,98.7,40,95.92,6,3
4,4,30,79.2,70,5.19,4,2
4,3,28.42857143,93.24,80.4,5.77,0,0
4,2,20.14285714,95.84,50.6,15.74,0,0
4,1,15.14285714,95.32,20.6,35.65,4,2
4,5,27.14285714,71.14,50.2,36.33,2,2
5,3,20.71428571,95.06,60,45.76,3,2
5,5,26.57142857,92.98,80,59.29,0,0
5,2,18.85714286,96.88,30,69.59,3,2
5,4,17.85714286,97.4,75,90.26,19,3
5,1,13.71428571,63.6,25,92.39,3,3
6,5,29.14285714,97.4,60.5,140.1,3,1
6,3,34.57142857,96.88,50.8,150.36,4,1
6,2,23,85.96,20.5,166.46,6,2
6,4,17.71428571,93.24,40.5,189,16,2
6,1,7.571428571,40.72,30.7,189.36,0,0
7,5,44.57142857,95.58,60,250.65,0,0
7,1,30.57142857,56.32,40.9,272.36,0,0
7,4,30,94.94,60,275.97,0,0
7,2,29.28571429,88.56,70,276.92,0,0
7,3,25,95.58,80,299.7,0,0
8,5,53.14285714,97.14,50.4,318.61,0,0
8,2,24.28571429,92.2,50.7,337.05,6,1
8,1,12.14285714,79.2,40.5,341.2,0,0
8,3,26,98.18,40.9,347.7,0,0
8,4,25.42857143,93.76,50.2,362.96,0,0
9,2,20.14285714,84.66,40.7,34.92,4,3
9,3,65.71428571,94.8,80.2,42.39,5,4
9,4,36.71428571,87.78,50.9,42.7,5,2
9,1,41.57142857,96.88,40,55.79,3,2
9,5,61.85714286,98.7,40.4,68.32,2,2
10,5,33,92.2,30.5,17.48,19,3
10,1,33.42857143,95.32,30.6,32.11,3,1
10,3,25.85714286,79.72,40.6,43.63,2,2
10,2,58.28571429,99.22,30,45.9,29,2
10,4,35.42857143,99.74,30.5,63.85,4,3
11,4,47.85714286,98.18,40.4,85.87,0,0
11,2,54.42857143,95.06,30.7,118.06,8,1
11,1,50.42857143,92.72,20.8,118.48,5,1
11,3,39.85714286,97.4,50,119,1,1
11,5,21.85714286,86.22,20.7,142.7,0,0
12,4,21.85714286,86.74,30.4,111.66,2,2
12,2,43.71428571,98.96,40.3,116.1,2,1
12,1,55.14285714,96.62,50.3,126.54,10,1
12,3,43,88.56,50.8,139.58,3,2
12,5,32.28571429,94.54,50.2,157.34,8,1
13,4,34.14285714,84.4,30.2,38.99,20,1
13,3,19.57142857,100,50.3,56.11,110,1
13,2,31.14285714,98.96,40.3,58.6,0,0
13,1,26.85714286,67.76,30,70.45,16,1
13,5,11.28571429,100,60.4,81.95,13,3
14,5,2.428571429,20.52,80.4,57.3,83,2
14,1,28.28571429,89.6,50.7,66.2,41,2
14,2,18.14285714,99.22,60.2,79.47,75,2
14,3,1,19.04,60,91.58,2,2
14,4,31.42857143,78.68,40.2,99.57,70,1
15,5,0,0,80.7,2.83,7,1
15,3,0,0,70.8,4.02,0,0
15,1,0,0,70.6,15.47,15,1
15,4,26.57142857,60,70,18.29,2,2
15,2,0,0,80.5,18.98,0,0
16,5,53.42857143,98.04,70.4,4.92,0,0
16,3,57.28571429,65.14,70.8,5.03,0,0
16,1,55.42857143,89.34,80.7,5.23,0,0
16,2,39.42857143,67.02,60.4,24.33,40,1
16,4,45.42857143,54.21,50.4,32.98,1,1
17,4,12.85714286,12.12,60.4,42.06,0,0
17,5,34.71428571,56.02,70.8,43.09,39,2
17,1,26,89.17,90.2,57.89,50,1
17,2,25.42857143,67.3,70,64.75,30,1
17,3,43.42857143,45.81,60.8,72.97,8,2
18,5,5.571428571,95.06,32.3,165.9,20,1
18,2,20.57142857,97.4,33,173.08,32,2
18,3,34.85714286,98.96,23.3,173.76,10,1
18,1,53.57142857,100,30.2,184.76,28,2
18,4,21.85714286,95.84,26.8,191.21,3,1
19,3,25.71428571,96.88,60,255.59,40,1
19,4,19.57142857,98.44,40.7,258.85,30,1
19,1,16.28571429,91.68,20,271.97,3,1
19,2,10.42857143,99.48,30.9,277.22,3,1
19,5,17.14285714,96.1,30.9,294.36,6,1
20,5,17.71428571,93.76,20.4,241.11,5,1
20,3,29.42857143,94.28,40,253.14,0,0
20,2,20,98.44,10.8,272.6,7,1
20,1,7.714285714,79.2,9,274.24,0,0
20,4,18.71428571,92.46,20.7,297.91,9,2
21,5,25.28571429,96.36,110,6.39,1,1
21,3,0,0,90.2,20.03,25,1
21,2,0,0,90.4,25.56,2,2
21,1,3,76.6,60,30.82,26,3
21,4,39.42857143,84.4,50,48.08,1,1
22,4,16.42857143,79.72,52.3,71.16,4,2
22,1,13.57142857,76.86,60.2,88.87,0,0
22,5,13.28571429,86.48,40.5,113.19,0,0
22,3,17.28571429,86.22,48.3,114.97,3,1
22,2,33.42857143,87.52,45.8,139.19,5,2
