Site,TS1,TS1.1,TS1.2,TS2,TS3,FS1,FS1.1,FS1.2,FS1.3,FS1.4,FS1.5,FS1.6,FS2,FS2.1,FS3,FS4,FS5,FS5.1,FS5.2,FS6,ND,SS1,SS2,SS3,FW1,FW2,FW3,FW4,FWND1,FWND2,FWND3,FWND4,FWND,T1,T2,T3,T4,TND 1,TND2,TND3,TND4,TND,C1,C2,C3,CND,GS1,GS2,I1,I2,I3,I4,O1,O2,G1,G2,G3,G4,G5,G6
PM1,4706,,,,3030,,,,,,,,,26108,,,5204,,,,,,,,,,370,,,2471,,,,2756,,,,,,,,,,,,,,,,50,,,,,,,,,,
PM2,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273,,,,,,,
PM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2866,,,,,,,
PM5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM6,7569,,,,1380,,,12240,,,,,,,200,,2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
PM7,4418,,,,,4830,,,,,,,360,,6430,,1859,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,448,,,,,,,290,,,,,,,
PM8,4208,,,240,,,,,,,,,,1220,,,3964,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,
PM9,2850,,,,,,,,,,,,,,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,,,,
PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1336,,,,,,
PM11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,,,,,,,
PM12,5520,700,1340,,,,,,,,,,,,,,,,,500,,,,,1290,,,,,290,900,,,,,,,,,,,,,,,,,,,,,,1980,,,,,,,
PM13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7921,,,,,,,
