sp1_name,sp2_name,sp1_inc,sp2_inc,obs_cooccur,exp_cooccur,prob_cooccur,p_lt,p_gt,,,,,,
TS1,TS1.1,77,39,33,31.3,0.326,0.8773,0.26496,,,,,,
TS1,TS1.2,77,15,12,12,0.125,0.61084,0.66138,,,,,,
TS1,TS2,77,32,23,25.7,0.267,0.12051,0.95516,,,,,,
TS1,TS3,77,15,14,12,0.125,0.97303,0.14897,,,,,,
TS1,FS1,77,29,25,23.3,0.242,0.89723,0.24903,,,,,,
TS1,FS1.1,77,15,13,12,0.125,0.85103,0.38916,,,,,,
TS1,FS1.2,77,18,17,14.4,0.15,0.98805,0.0801,,,,,,
TS1,FS1.3,77,4,1,3.2,0.033,0.02363,0.99883,,,,,,
TS1,FS1.4,77,5,5,4,0.042,1,0.32324,,,,,,
TS1,FS2,77,27,21,21.7,0.226,0.45449,0.74926,,,,,sp1_inc,Number of sites sp1 occurs in
TS1,FS2.1,77,30,25,24.1,0.251,0.78371,0.41275,,,,,sp2_inc,Number of sites sp2 occurs in
TS1,FS3,77,25,22,20.1,0.209,0.92928,0.20186,,,,,obs_cooccur,Number of sites they cooccur in
TS1,FS4,77,10,10,8,0.084,1,0.09725,,,,,exp_cooccur,Expected number of sites for them to cooccur in
TS1,FS5,77,35,27,28.1,0.292,0.37544,0.79981,,,,,prob_cooccur,Probability of cooccurance
TS1,FS5.1,77,21,18,16.8,0.175,0.84816,0.35436,,,,,p_lt,Probability that they will randomly cooccur in less sites
TS1,FS5.2,77,8,8,6.4,0.067,1,0.15869,,,,,p_gt,Probability that they will randomly cooccur in more sites
TS1,FS6,77,21,19,16.8,0.175,0.95913,0.15184,,,,,,
TS1,ND,77,9,6,7.2,0.075,0.25005,0.92715,,,,,,
TS1,SS1,77,11,7,8.8,0.092,0.14387,0.96182,,,,,,
TS1,SS2,77,11,9,8.8,0.092,0.68789,0.62492,,,,,,
TS1,SS3,77,7,6,5.6,0.058,0.79824,0.5797,,,,,,
TS1,FW1,77,50,43,40.1,0.418,0.95966,0.10955,,,,,,
TS1,FW2,77,5,3,4,0.042,0.2561,0.94854,,,,,,
TS1,FW3,77,16,13,12.8,0.134,0.66125,0.60761,,,,,,
TS1,FWND1,77,29,26,23.3,0.242,0.97036,0.10277,,,,,,
TS1,FWND2,77,45,35,36.1,0.376,0.37945,0.79339,,,,,,
TS1,FWND3,77,38,34,30.5,0.317,0.98519,0.05392,,,,,,
TS1,FWND4,77,7,6,5.6,0.058,0.79824,0.5797,,,,,,
TS1,FWND,77,6,5,4.8,0.05,0.74425,0.66069,,,,,,
TS1,T1,77,9,3,7.2,0.075,0.00165,0.99988,,,,,,
TS1,T2,77,49,42,39.3,0.409,0.94997,0.12996,,,,,,
TS1,T3,77,9,7,7.2,0.075,0.56722,0.74995,,,,,,
TS1,TND.1,77,3,3,2.4,0.025,1,0.51197,,,,,,
TS1,TND2,77,3,2,2.4,0.025,0.48803,0.90106,,,,,,
TS1,TND4,77,2,2,1.6,0.017,1,0.64167,,,,,,
TS1,TND,77,11,9,8.8,0.092,0.68789,0.62492,,,,,,
TS1,C1,77,5,4,4,0.042,0.67676,0.7439,,,,,,
TS1,C2,77,8,6,6.4,0.067,0.49674,0.80902,,,,,,
TS1,C3,77,5,3,4,0.042,0.2561,0.94854,,,,,,
TS1,CND,77,7,5,5.6,0.058,0.4203,0.86316,,,,,,
TS1,GS1,77,12,11,9.6,0.1,0.94117,0.26206,,,,,,
TS1,GS2,77,2,1,1.6,0.017,0.35833,0.9625,,,,,,
TS1,I1,77,4,3,3.2,0.033,0.59263,0.82575,,,,,,
TS1,I2,77,14,13,11.2,0.117,0.9649,0.181,,,,,,
TS1,I3,77,8,7,6.4,0.067,0.84131,0.50326,,,,,,
TS1,I4,77,4,4,3.2,0.033,1,0.40737,,,,,,
TS1,O1,77,22,18,17.6,0.184,0.68884,0.54878,,,,,,
TS1,O2,77,4,4,3.2,0.033,1,0.40737,,,,,,
