,TS,TS1.1,TS1.2,TS2,TS3,FS1,FS1.1,FS1.2,FS1.3,FS1.4,FS2,FS2.1,FS3,FS4,FS5,FS5.1,FS5.2,FS6,ND,SS1,SS2,SS3,FW1,FW2,FW3,FWND1,FWND2,FWND3,FWND4,FWND,T1,T2,T3,TND.1,TND2,TND4,TND,C1,C2,C3,CND,GS1,GS2,I1,I2,I3,I4,O1,O2,G1,G2,G3,G4,G5,V55,V56,V57,V58,V59,V60
TS,0,53,56,59,54,55,59,57,49,60,61,59,55,62,62,59,53,55,66,56,57,53,52,64,58,61,64,55,58,54,58,62,61,54,57,62,57,55,55,58,60,52,61,61,64,61,65,53,52,61,65,60,58,62,57,52,59,64,58,60
TS1.1,53,0,54,56,53,49,57,54,44,52,54,55,53,53,54,56,53,53,57,50,54,49,47,53,56,52,57,53,49,44,54,50,54,51,53,56,52,53,53,55,51,48,56,56,54,56,59,48,48,54,63,57,51,57,48,52,55,60,57,56
TS1.2,56,54,0,56,54,51,56,51,43,54,54,54,51,54,58,54,49,54,58,50,51,49,49,53,55,58,59,48,52,48,54,55,53,48,52,54,56,52,54,51,52,50,53,54,57,53,59,48,47,57,61,59,53,55,52,51,57,61,58,54
TS2,59,56,56,0,56,50,58,54,51,57,56,57,54,57,64,60,55,56,66,55,55,50,50,59,53,59,62,54,55,51,59,58,61,55,55,58,57,53,57,56,54,49,59,59,58,59,63,51,52,58,66,62,54,57,56,52,59,65,59,58
TS3,54,53,54,56,0,50,55,58,45,58,55,54,51,55,56,53,48,53,57,49,54,47,50,54,55,59,58,54,53,50,55,55,55,52,51,58,54,49,52,56,52,49,57,55,54,53,57,48,49,55,63,57,52,51,51,51,55,58,56,55
FS1,55,49,51,50,50,0,54,46,45,50,54,46,42,54,53,54,46,50,54,47,53,42,44,53,56,52,55,47,52,47,48,54,54,48,49,53,53,47,48,52,49,50,51,55,54,53,51,44,43,51,56,53,52,55,49,47,51,55,52,55
FS1.1,59,57,56,58,55,54,0,54,43,57,54,54,54,56,59,60,48,53,60,53,53,45,52,57,56,59,61,58,55,50,56,58,58,52,54,58,58,53,54,57,55,49,56,58,59,60,62,52,53,59,66,59,56,58,55,55,58,61,60,61
FS1.2,57,54,51,54,58,46,54,0,44,53,54,54,51,55,56,54,49,51,58,49,53,47,50,52,55,56,58,54,51,49,52,51,56,49,52,58,55,45,54,53,51,48,56,54,57,52,59,50,52,53,62,54,51,55,50,49,54,60,55,55
FS1.3,49,44,43,51,45,45,43,44,0,45,50,47,43,46,46,45,49,44,53,40,47,37,45,49,45,47,49,42,43,40,50,47,48,48,47,49,45,41,44,46,41,41,49,48,47,48,50,42,41,46,50,55,48,48,47,44,46,50,46,49
FS1.4,60,52,54,57,58,50,57,53,45,0,58,53,53,54,60,54,48,52,60,53,54,46,49,57,56,60,60,53,55,50,59,56,59,55,54,58,56,51,55,57,54,48,59,61,54,54,60,48,50,60,63,58,55,58,56,54,57,61,57,56
