Site,Treat,Plant,Density,Powe,Rate,Expe,Cutoff,Status,Shrubs
j1,unint,grass,0.310313343,1.873398,1.03E-05,1.143485,9.71E+04,ungrazed,intact
j2,winrem,grass,0.215716564,1.786523,0.000430076,0.9992238,2.33E+03,grazed,removed
j3,winint,grass,0.152768789,1.810202,0.000904506,0.8238156,1.11E+03,grazed,intact
j4,winrem,grass,0.207178467,1.807012,5.21E-04,0.9688669,1.92E+03,grazed,removed
j5,sumrem,grass,0.236603617,1.814561,0.000241043,1.043332,4.15E+03,grazed,removed
j6,unint,grass,0.287958876,1.862828,4.60E-05,1.226515,2.17E+04,ungrazed,intact
j7,winrem,grass,0.312504388,1.877199,1.22E-05,1.067798,8.20E+04,grazed,removed
j8,unint,grass,0.255224907,1.813006,8.89E-05,0.8931367,1.12E+04,ungrazed,intact
j9,sumrem,grass,0.236254026,1.786971,0.000137694,0.7486654,7.26E+03,grazed,removed
j10,sumrem,grass,0.386245493,1.810894,3.88E-06,1.039023,2.58E+05,grazed,removed
j11,sumint,grass,0.233451314,1.812567,0.000124427,1.105765,8.04E+03,grazed,intact
j12,unrem,grass,0.345722036,1.776162,2.04E-05,0.8780434,4.90E+04,ungrazed,removed
j13,sumint,grass,0.214225399,1.83457,0.000225692,1.082287,4.43E+03,grazed,intact
j14,winint,grass,0.21339193,1.860724,0.000246684,1.069632,4.05E+03,grazed,intact
j15,unrem,grass,0.328466971,1.815553,3.12E-05,1.208268,3.21E+04,ungrazed,removed
j16,sumint,grass,0.195942195,1.856862,0.000247638,0.996417,4.04E+03,grazed,intact
j17,unrem,grass,0.323162137,1.861469,4.20E-05,1.29185,2.38E+04,ungrazed,removed
j18,winint,grass,0.167031736,1.897923,0.000436995,0.8951333,2.29E+03,grazed,intact
j1,unint,veg,0.411571649,1.643817,6.42E-05,0.7300942,1.56E+04,ungrazed,intact
j2,winrem,veg,0.286472462,1.467238,0.001151677,0.5800798,8.68E+02,grazed,removed
j3,winint,veg,0.25421725,1.533097,0.000805933,0.4771207,1.24E+03,grazed,intact
j4,winrem,veg,0.287824521,1.423559,0.00147089,0.6500807,6.80E+02,grazed,removed
j5,sumrem,veg,0.289097289,1.507884,0.000914216,0.6620617,1.09E+03,grazed,removed
j6,unint,veg,0.292597001,1.702115,0.000104949,0.647918,9.53E+03,ungrazed,intact
j7,winrem,veg,0.346413111,1.635502,0.000163485,0.6813815,6.12E+03,grazed,removed
j8,unint,veg,0.339455257,1.612661,0.000255689,0.6610696,3.91E+03,ungrazed,intact
j9,sumrem,veg,0.294925738,1.550835,0.000651893,0.5750019,1.53E+03,grazed,removed
j10,sumrem,veg,0.400258973,1.606181,7.15E-05,0.6046358,1.40E+04,grazed,removed
j11,sumint,veg,0.32057385,1.62251,0.000156147,0.5565003,6.40E+03,grazed,intact
j12,unrem,veg,0.374589187,1.659853,7.05E-05,0.6771373,1.42E+04,ungrazed,removed
j13,sumint,veg,0.292860124,1.558765,0.00051339,0.6109447,1.95E+03,grazed,intact
j14,winint,veg,0.312733634,1.507474,0.000712359,0.6505028,1.40E+03,grazed,intact
j15,unrem,veg,0.373717845,1.630341,0.000115597,0.7010075,8.65E+03,ungrazed,removed
j16,sumint,veg,0.27379945,1.610305,0.000350868,0.6048457,2.85E+03,grazed,intact
j17,unrem,veg,0.413962033,1.6405,9.09E-05,0.8206536,1.10E+04,ungrazed,removed
j18,winint,veg,0.270141778,1.568984,0.000702594,0.5632395,1.42E+03,grazed,intact
