sl,name,transect,bg,
1,ajm1,,,
2,ajm2,,,
3,bar1,,,
4,bar2,,,
5,bar3,,,
6,jai1,1,3.7,
7,jai1,1,0.6,
8,jai1,1,0.2,
9,jai1,1,0.3,
10,jai1,1,0.6,
11,jai1,1,2.8,
12,jai1,1,0.7,
13,jai1,1,1.2,
14,jai1,1,4.8,
15,jai1,1,4.9,
16,jai1,1,1.4,
17,jai1,1,0.3,
18,jai1,1,0.3,
19,jai1,1,0.3,
20,jai1,1,0.4,
21,jai1,1,0.2,
22,jai1,1,1.8,
23,jai1,1,0.8,
24,jai1,2,0.6,
25,jai1,2,1.7,
26,jai1,2,1.6,
27,jai1,2,1.5,
28,jai1,2,1.4,
29,jai1,2,2.5,
30,jai1,2,2.1,
31,jai1,2,0.7,
32,jai1,2,1.1,
33,jai1,2,0.4,
34,jai1,2,0.2,
35,jai1,2,0.5,
36,jai1,2,0.1,
37,jai1,2,0.4,
38,jai1,2,1.3,
39,jai1,2,0.6,
40,jai1,2,0.3,
41,jai1,2,0.8,
42,jai1,2,0.7,
43,jai1,2,0.6,
44,jai1,2,1.7,
45,jai1,2,0.4,
46,jai1,3,0.2,
47,jai1,3,0.1,
48,jai1,3,0.1,
49,jai1,3,0.7,
50,jai1,3,0.2,
51,jai1,3,0.2,
52,jai1,3,3.5,
53,jai1,3,0.3,
54,jai1,3,0.3,
55,jai1,3,3.2,
56,jai1,3,0.7,
57,jai1,3,0.7,
58,jai1,3,0.4,
59,jai1,3,1.7,
60,jai1,3,1.2,
61,jai1,3,0.5,
62,jai1,3,0.2,
63,jai1,3,0.4,
64,jai1,3,1.9,
65,jai1,3,0.4,
66,jai1,3,1.3,
67,jai1,3,0.3,
68,jai1,3,0.1,
69,jai1,3,0.2,
70,jai1,3,1.3,
71,jai1,3,1.5,
72,jai1,3,0.3,
73,jai1,4,0.2,
74,jai1,4,3,
75,jai1,4,1,
76,jai1,4,2,
77,jai1,4,0.2,
78,jai1,4,0.3,
79,jai1,4,0.4,
80,jai1,4,1,
81,jai1,4,0.5,
82,jai1,4,0.1,
83,jai1,4,0.5,
84,jai1,4,0.1,
85,jai1,4,1,
86,jai1,4,0.1,
87,jai1,4,0.4,
88,jai1,4,0.1,
89,jai1,4,0.3,
90,jai1,4,0.2,
91,jai1,4,0.7,
92,jai1,4,0.4,
93,jai1,4,0.4,
94,jai1,4,0.4,
95,jai1,4,0.2,
96,jai1,4,0.3,
97,jai1,4,0.4,
98,jai1,4,1.2,
99,jai1,4,0.6,
100,jai1,4,0.2,
101,jai1,4,0.2,
102,jai1,4,0.3,
103,jai1,4,0.3,
104,jai1,4,0.1,
105,jai1,4,0.2,
106,jai1,4,0.5,
107,jai1,4,1.7,
108,jai1,4,0.2,
109,jai1,4,0.1,
110,jai1,4,1.1,
111,jai1,4,0.5,
112,jai1,5,0.1,
113,jai1,5,0.4,
114,jai1,5,0.1,
115,jai1,5,0.1,
116,jai1,5,0.4,
117,jai1,5,0.2,
118,jai1,5,0.3,
119,jai1,5,0.3,
120,jai1,5,0.1,
121,jai1,5,0.2,
122,jai1,5,0.3,
123,jai1,5,0.3,
124,jai1,5,1,
125,jai1,5,0.9,
126,jai1,5,0.4,
127,jai1,5,0.1,
128,jai1,5,0.9,
129,jai1,5,2,
130,jai1,5,2.1,
131,jai1,5,0.2,
132,jai1,5,0.9,
133,jai1,5,0.8,
134,jai1,5,0.8,
135,jai1,5,0.8,
136,jai1,5,0.7,
137,jai1,5,0.2,
138,jai1,5,0.2,
139,jai1,5,0.6,
140,jai1,5,3,
141,jai1,5,0.1,
142,jai1,5,0.4,
143,jai1,5,0.5,
144,jai1,5,2.7,
145,jai1,5,0.3,
146,jai1,5,1.2,
147,jai1,5,1,
148,jai1,5,0.5,
149,jai1,5,0.1,
150,jai1,5,1,
151,jai1,5,0.7,
152,jai1,5,0.9,
153,jai1,5,1,
154,jai1,5,0.2,
155,jai1,5,0.5,
156,jai1,5,0.4,
157,jai1,5,0.3,
158,jai1,5,0.6,
159,jai1,5,0.1,
160,jai1,5,0.4,
161,jai1,5,0.2,
162,jai1,5,1.5,
163,jai1,5,1.4,
164,jai1,5,0.3,
165,jai1,5,0.1,
166,jai1,5,0.2,
167,jai1,5,0.3,
168,jai1,5,0.4,
169,jai1,6,0.2,
170,jai1,6,0.3,
171,jai1,6,0.1,
172,jai1,6,0.1,
173,jai1,6,0.2,
174,jai1,6,0.3,
175,jai1,6,0.2,
176,jai1,6,0.7,
177,jai1,6,0.3,
178,jai1,6,0.2,
179,jai1,6,0.1,
180,jai1,6,0.1,
181,jai1,6,0.1,
182,jai1,6,0.1,
183,jai1,6,0.3,
184,jai1,6,0.2,
185,jai1,6,0.6,
186,jai1,6,0.3,
187,jai1,6,0.4,
188,jai1,6,0.2,
189,jai1,6,0.3,
190,jai1,6,0.2,
191,jai1,6,0.7,
192,jai1,6,4.8,
193,jai1,6,1.1,
194,jai1,6,0.3,
195,jai1,6,0.2,
196,jai1,6,0.2,
197,jai1,6,0.7,
198,jai1,6,1.2,
199,jai1,6,1,
200,jai1,6,0.2,
201,jai1,6,2.4,
202,jai1,6,2,
203,jai1,6,0.1,
204,jai1,6,0.2,
205,jai1,6,0.3,
206,jai1,6,1.1,
207,jai1,6,0.3,
208,jai1,6,0.5,
209,jai1,6,0.4,
210,jai1,6,0.8,
211,jai1,6,0.5,
212,jai1,6,0.4,
213,jai1,6,0.4,
214,jai2,7,3,
215,jai2,7,2.7,
216,jai2,7,0.4,
217,jai2,7,0.6,
218,jai2,7,8.4,
219,jai2,7,0.8,
220,jai2,7,1.6,
221,jai2,7,0.9,
222,jai2,7,0.3,
223,jai2,7,0.9,
224,jai2,7,1.2,
225,jai2,7,6.4,
226,jai2,7,0.7,
227,jai2,7,3.6,
228,jai2,7,1.6,
229,jai2,7,0.4,
230,jai2,7,1.5,
231,jai2,7,0.5,
232,jai2,7,3,
233,jai2,7,1.3,
234,jai2,8,0.4,
235,jai2,8,3.2,
236,jai2,8,0.7,
237,jai2,8,3.6,
238,jai2,8,1,
239,jai2,8,0.6,
240,jai2,8,0.7,
241,jai2,8,1.9,
242,jai2,8,1.8,
243,jai2,8,1.3,
244,jai2,8,1.7,
245,jai2,8,1.1,
246,jai2,8,1,
247,jai2,8,1.8,
248,jai2,8,0.4,
249,jai2,8,0.5,
250,jai2,8,0.3,
251,jai2,8,0.7,
252,jai2,8,1.6,
253,jai2,8,7.2,
254,jai2,9,3.7,
255,jai2,9,4.6,
256,jai2,9,2.4,
257,jai2,9,3.4,
258,jai2,9,2.4,
259,jai2,9,0.3,
260,jai2,9,2.2,
