"","name","transect","animal","count"
"9","jai1",1,"goat",2.14
"10","jai1",1,"cowcam",1
"11","jai1",1,"sheep",0
"12","jai1",1,"chinkara",0
"13","jai1",2,"goat",3.56
"14","jai1",2,"cowcam",2
"15","jai1",2,"sheep",0
"16","jai1",2,"chinkara",0
"17","jai1",3,"cowcam",10
"18","jai1",3,"goat",2.14
"19","jai1",3,"sheep",2.38
"20","jai1",3,"chinkara",0
"21","jai1",4,"goat",1.42
"22","jai1",4,"cowcam",1
"23","jai1",4,"sheep",0
"24","jai1",4,"chinkara",0
"25","jai1",5,"goat",7.86
"26","jai1",5,"cowcam",4
"27","jai1",5,"sheep",0
"28","jai1",5,"chinkara",0
"29","jai1",6,"goat",0.71
"30","jai1",6,"cowcam",0
"31","jai1",6,"sheep",0
"32","jai1",6,"chinkara",0
"33","jai2",7,"cowcam",1
"34","jai2",7,"chinkara",1.67
"35","jai2",7,"goat",0
"36","jai2",7,"sheep",0
"37","jai2",8,"goat",0.71
"38","jai2",8,"sheep",2.38
"39","jai2",8,"chinkara",3.33
"40","jai2",8,"cowcam",0
"41","jai2",9,"goat",1.42
"42","jai2",9,"chinkara",1.67
"43","jai2",9,"sheep",0
"44","jai2",9,"cowcam",0
"45","jai2",10,"goat",2.14
"46","jai2",10,"cowcam",0
"47","jai2",10,"sheep",0
"48","jai2",10,"chinkara",0
"49","jai2",11,"goat",5.73
"50","jai2",11,"sheep",7.62
"51","jai2",11,"cowcam",0
"52","jai2",11,"chinkara",0
"53","jai2",12,"goat",2.14
"54","jai2",12,"cowcam",0
"55","jai2",12,"sheep",0
"56","jai2",12,"chinkara",0
"57","jai3",13,"goat",6.44
"58","jai3",13,"cowcam",4
"59","jai3",13,"sheep",0
"60","jai3",13,"chinkara",0
"61","jai3",14,"goat",7.15
"62","jai3",14,"cowcam",5
"63","jai3",14,"sheep",0
"64","jai3",14,"chinkara",0
"65","jai4",15,"goat",2.14
"66","jai4",15,"cowcam",1
"67","jai4",15,"sheep",4.76
"68","jai4",15,"chinkara",0
"69","jai4",16,"goat",1.42
"70","jai4",16,"cowcam",1
"71","jai4",16,"sheep",7.62
"72","jai4",16,"chinkara",0
"73","jai4",17,"cowcam",4
"74","jai4",17,"goat",0
"75","jai4",17,"sheep",0
"76","jai4",17,"chinkara",0
"77","jai4",18,"goat",0.71
"78","jai4",18,"cowcam",3
"79","jai4",18,"sheep",7.62
"80","jai4",18,"chinkara",0
"81","bik1",19,"goat",6.44
"82","bik1",19,"sheep",2.38
"83","bik1",19,"cowcam",0
"84","bik1",19,"chinkara",0
"85","bik1",20,"goat",5.73
"86","bik1",20,"cowcam",0
"87","bik1",20,"sheep",0
"88","bik1",20,"chinkara",0
"89","bik1",21,"goat",3.7
"90","bik1",21,"sheep",10
"91","bik1",21,"cowcam",0
"92","bik1",21,"chinkara",0
"93","bik1",22,"goat",5.67
"94","bik1",22,"sheep",5.71
"95","bik1",22,"cowcam",7
"96","bik1",22,"chinkara",8.33
"97","bik2",23,"goat",5.67
"98","bik2",23,"sheep",2.86
"99","bik2",23,"cowcam",10
"100","bik2",23,"chinkara",0
"101","bik2",24,"goat",10
"102","bik2",24,"cowcam",2
"103","bik2",24,"sheep",0
"104","bik2",24,"chinkara",0
"105","bik4",25,"cowcam",3
"106","bik4",25,"sheep",3.33
"107","bik4",25,"goat",0
"108","bik4",25,"chinkara",0
"109","bik4",26,"cowcam",2
"110","bik4",26,"sheep",9.05
"111","bik4",26,"goat",0
"112","bik4",26,"chinkara",0
"113","bik4",27,"goat",0.08
"114","bik4",27,"sheep",0.48
"115","bik4",27,"cowcam",0
"116","bik4",27,"chinkara",0
"117","bik4",28,"cowcam",5
"118","bik4",28,"goat",0
"119","bik4",28,"sheep",0
"120","bik4",28,"chinkara",0
"121","bik5",29,"goat",0.05
"122","bik5",29,"cowcam",1
"123","bik5",29,"sheep",1.43
"124","bik5",29,"chinkara",0
"125","bik5",30,"goat",6.14
"126","bik5",30,"cowcam",7
"127","bik5",30,"sheep",0
"128","bik5",30,"chinkara",0
"129","bik5",31,"goat",0.9
"130","bik5",31,"chinkara",10
"131","bik5",31,"sheep",0
"132","bik5",31,"cowcam",0
"133","bik5",32,"goat",0.71
"134","bik5",32,"cowcam",0
"135","bik5",32,"sheep",0
"136","bik5",32,"chinkara",0
"137","nag1",33,"goat",5.97
"138","nag1",33,"cowcam",1
"139","nag1",33,"sheep",0
"140","nag1",33,"chinkara",0
"141","nag1",34,"goat",5.01
"142","nag1",34,"cowcam",0
"143","nag1",34,"sheep",0
"144","nag1",34,"chinkara",0
"145","nag1",35,"goat",2.58
"146","nag1",35,"cowcam",0
"147","nag1",35,"sheep",0
"148","nag1",35,"chinkara",0
"149","chu1",36,"goat",2.96
"150","chu1",36,"cowcam",0
"151","chu1",36,"sheep",0
"152","chu1",36,"chinkara",0
"153","chu1",37,"goat",4.49
"154","chu1",37,"cowcam",8
"155","chu1",37,"sheep",0
"156","chu1",37,"chinkara",0
"157","chu2",38,"goat",5.48
"158","chu2",38,"cowcam",2
"159","chu2",38,"sheep",0
"160","chu2",38,"chinkara",0
"161","chu2",39,"goat",4.9
"162","chu2",39,"cowcam",2
"163","chu2",39,"sheep",0
"164","chu2",39,"chinkara",0
