sl,name,type,bggrass,herbshrub,tree,Rem
1,ajm1,loamy,1,1,1,
2,ajm2,loamy,1,1,1,
3,bar1,sandy,1,1,1,
4,bar2,sandy,0,0,0,
5,bar3,sandy,0,0,0,
6,jai1,sandy,0,0,0,
7,jai2,sandy,0,0,0,
8,jai3,sandy,1,1,0,
9,jai4,sandy,1,1,1,
10,jai5,sandy,1,2,0,ziznum and salper
11,bik1,sandy,1,1,1,
12,bik2,sandy,1,1,0,
13,bik3,sandy,2,1,0,sparse and dense grass
14,bik4,sandy,1,1,0,
15,bik5,sandy,0,1,0,
16,bik6,sandy,1,1,0,
17,bik7,sandy,0,1,0,
18,nag1,loamy,1,1,0,
19,chu1,sandy,1,1,0,
20,chu2,sandy,0,0,0,
