name,transect,species,count
bar1,a,crobur,127
bar1,a,leppyr,15
bar1,a,arnhis,107
bar1,a,aerpse,16
bar1,a,mayema,4
bar1,a,convolvulaceae,5
bar1,a,lassci,2
bar1,a,acajac,4
bar1,a,ziznum,1
bar1,a,tecund,1
bar1,a,aerjav,0
bar1,a,procin,0
bar1,a,acasen,0
bar1,a,teppur,0
bar1,a,pantur,0
bar1,a,dacaeg,0
bar1,a,cenbif,0
bar1,a,grass6,0
bar1,a,lepidagathis,0
bar1,a,capdec,0
bar1,a,aristida,0
bar1,a,fagind,0
bar1,a,calpro,0
bar1,a,halsal,0
bar1,a,tribulus,0
bar1,a,calpol,0
bar1,a,acator,0
bar1,a,solsur,0
bar1,a,farsetia,0
bar1,a,launea,0
bar1,a,heliotropium,0
bar1,a,eupcha,0
bar1,a,verbascina,0
bar1,a,citcol,0
bar1,a,mimham,0
bar1,a,solanum,0
bar1,a,boedif,0
bar1,a,mirhir,0
bar1,b,crobur,191
bar1,b,leppyr,0
bar1,b,arnhis,24
bar1,b,aerpse,0
bar1,b,mayema,0
bar1,b,convolvulaceae,0
bar1,b,lassci,0
bar1,b,acajac,0
bar1,b,ziznum,0
bar1,b,tecund,0
bar1,b,aerjav,15
bar1,b,procin,0
bar1,b,acasen,0
bar1,b,teppur,0
bar1,b,pantur,0
bar1,b,dacaeg,0
bar1,b,cenbif,0
bar1,b,grass6,0
bar1,b,lepidagathis,0
bar1,b,capdec,0
bar1,b,aristida,0
bar1,b,fagind,0
bar1,b,calpro,0
bar1,b,halsal,0
bar1,b,tribulus,0
bar1,b,calpol,0
bar1,b,acator,0
bar1,b,solsur,0
bar1,b,farsetia,0
bar1,b,launea,0
bar1,b,heliotropium,0
bar1,b,eupcha,0
bar1,b,verbascina,0
bar1,b,citcol,0
bar1,b,mimham,0
bar1,b,solanum,0
bar1,b,boedif,0
bar1,b,mirhir,0
bar2,c,crobur,163
bar2,c,leppyr,0
bar2,c,arnhis,0
bar2,c,aerpse,0
bar2,c,mayema,0
bar2,c,convolvulaceae,0
bar2,c,lassci,0
bar2,c,acajac,0
bar2,c,ziznum,0
bar2,c,tecund,3
bar2,c,aerjav,11
bar2,c,procin,2
bar2,c,acasen,2
bar2,c,teppur,2
bar2,c,pantur,0
bar2,c,dacaeg,0
bar2,c,cenbif,0
bar2,c,grass6,0
bar2,c,lepidagathis,0
bar2,c,capdec,0
bar2,c,aristida,0
bar2,c,fagind,0
bar2,c,calpro,0
bar2,c,halsal,0
bar2,c,tribulus,0
bar2,c,calpol,0
bar2,c,acator,0
bar2,c,solsur,0
bar2,c,farsetia,0
bar2,c,launea,0
bar2,c,heliotropium,0
bar2,c,eupcha,0
bar2,c,verbascina,0
bar2,c,citcol,0
bar2,c,mimham,0
