sl,name,transect,species,count ,trees
3,bar1,a,crobur,127,0
4,bar1,a,leppyr,15,0
5,bar1,a,arnhis,107,0
6,bar1,a,aerpse,16,0
7,bar1,a,mayema,4,0
8,bar1,a,convolvulaceae,5,0
9,bar1,a,lassci,2,0
10,bar1,a,acajac,4,0
11,bar1,a,ziznum,1,0
12,bar1,a,tecund,1,1
13,bar1,b,crobur,191,0
14,bar1,b,aerjav,15,0
15,bar1,b,arnhis,24,0
16,bar2,c,crobur,163,0
17,bar2,c,aerjav,11,0
18,bar2,c,tecund,3,3
19,bar2,c,procin,2,2
20,bar2,c,acasen,2,2
21,bar2,c,teppur,2,0
22,bar2,d,crobur,169,0
23,bar2,d,aerjav,5,0
24,bar2,d,tecund,2,2
25,bar2,d,procin,1,1
26,bar2,d,acasen,1,1
27,bar3,e,crobur,68,0
28,bar3,e,crobur,53,0
29,bar3,e,leppyr,5,0
30,bar3,e,leppyr,2,0
31,bar3,e,aerjav,15,0
32,bar3,e,aerjav,2,0
33,bar3,e,acasen,1,0
34,bar3,e,procin,3,3
35,bar3,e,lassci,2,0
36,bar3,f,crobur,70,0
37,bar3,f,crobur,56,0
38,bar3,f,leppyr,5,0
39,bar3,f,leppyr,3,0
40,bar3,f,aerjav,9,0
41,bar3,f,aerjav,2,0
42,bar3,f,procin,3,3
43,bar3,f,lassci,3,0
44,bar3,f,pantur,1,0
45,jai1,1,pantur,85,0
46,jai1,1,lassci,45,0
47,jai1,1,dacaeg,35,0
48,jai1,1,cenbif,15,0
49,jai1,1,grass6,10,0
50,jai1,1,lepidagathis,16,0
51,jai1,1,capdec,2,2
52,jai1,2,pantur,65,0
53,jai1,2,lassci,34,0
54,jai1,2,dacaeg,5,0
55,jai1,2,aristida,10,0
56,jai1,2,grass6,5,0
57,jai1,2,lepidagathis,30,0
58,jai1,2,capdec,2,2
59,jai1,3,pantur,115,0
60,jai1,3,lassci,120,0
61,jai1,3,dacaeg,5,0
62,jai1,3,cenbif,5,0
63,jai1,3,aristida,5,0
64,jai1,3,lepidagathis,40,0
65,jai1,3,capdec,8,2
66,jai1,3,pantur,125,0
67,jai1,3,lassci,40,0
68,jai1,3,dacaeg,12,0
69,jai1,4,pantur,130,0
70,jai1,4,lassci,130,0
71,jai1,4,lepidagathis,25,0
72,jai1,5,pantur,85,0
73,jai1,5,dacaeg,20,0
74,jai1,5,aristida,2,0
75,jai1,5,cenbif,1,0
76,jai1,5,lassci,15,0
77,jai1,5,lepidagathis,15,0
78,jai1,5,capdec,3,3
79,jai1,6,pantur,40,0
80,jai1,6,dacaeg,20,0
81,jai1,6,aristida,10,0
82,jai1,6,cenbif,5,0
83,jai1,6,lassci,45,0
84,jai1,6,capdec,1,3
85,jai1,6,fagind,2,0
86,jai2,7,pantur,12,0
87,jai2,7,aerjav,7,0
88,jai2,7,cenbif,1,0
89,jai2,7,lassci,25,0
90,jai2,7,crobur,27,0
91,jai2,7,fagind,6,0
