Site,Treat,Year,Density,Sh,Sc,Exp
Dzombo,burnt,1983,0.21835117,4.03493,1.381529,0.1482323
Dzombo,burnt,2000,0.251586087,4.756476,1.484779,0.08273286
Dzombo,burnt,2003,0.251260101,4.77636,1.387954,0.07002491
Dzombo,burnt,2006,0.423082565,3.922937,1.956953,0.201111
Numbi,burnt,1983,0.243843101,NA,NA,0.2028864
Numbi,burnt,2000,0.379168483,4.366343,1.629315,0.1348513
Numbi,burnt,2003,0.230533121,4.650471,1.64954,0.099328
Numbi,burnt,2006,0.310400119,3.518972,1.703771,0.1587892
Nwanetsi,burnt,1983,0.026576978,2.6002134,0.9919947,0.06307858
Nwanetsi,burnt,2000,0.034496664,3.404407,1.189156,0.04288304
Nwanetsi,burnt,2003,0.012719816,2.704384,1.210076,0.0200574
Nwanetsi,burnt,2006,0.059252415,3.235297,1.311376,0.1264762
Skukuza,burnt,1983,0.319721851,3.342137,2.040614,0.1436609
Skukuza,burnt,2000,0.309386548,4.386085,1.375027,NA
Skukuza,burnt,2003,0.16486796,4.119856,1.866154,0.0713318
Skukuza,burnt,2006,0.15727838,3.612942,1.643995,0.1311123
Dzombo,control,1983,0.259305638,2.471139,1.723312,0.2464623
Dzombo,control,2000,0.356739175,4.924153,1.650369,0.104147
Dzombo,control,2003,0.228166071,4.918125,1.248442,0.07402941
Dzombo,control,2006,0.261970449,4.418729,1.677433,0.1468147
Numbi,control,1983,0.609732852,2.62376,2.231674,0.3044313
Numbi,control,2000,0.671069588,4.425945,1.410355,0.2335936
Numbi,control,2003,0.778572898,4.232209,1.300223,0.1523831
Numbi,control,2006,0.49888833,2.780142,1.98257,0.2914962
Nwanetsi,control,1983,0.279079442,3.285486,1.816105,0.2630229
Nwanetsi,control,2000,0.17339152,3.740647,1.498011,0.137891
Nwanetsi,control,2003,0.159016003,4.411236,1.278555,0.1128623
Nwanetsi,control,2006,0.147541634,3.06837,1.861,NA
Skukuza,control,1983,0.617720484,3.79902,2.04016,0.2070813
Skukuza,control,2000,0.371472408,4.884216,1.38849,0.1084761
Skukuza,control,2003,0.378080316,5.65921,1.461667,NA
Skukuza,control,2006,0.422087102,3.923646,1.757116,0.224485
