Site,Treat,Year,Metric,Exp,Powe,Expe
Dzombo,burnt,1983,Inter patch,0.1482323,0.3569954,0.1270492
Dzombo,burnt,2000,Inter patch,0.08273286,0.1179357,0.08287871
Dzombo,burnt,2003,Inter patch,0.07002491,-0.08493686,0.07984325
Dzombo,burnt,2006,Inter patch,0.201111,0.6065417,0.1537562
Numbi,burnt,1983,Inter patch,0.2028864,0.8677637,0.1204541
Numbi,burnt,2000,Inter patch,0.1348513,0.2372631,0.1239019
Numbi,burnt,2003,Inter patch,0.099328,-0.1392454,0.1180518
Numbi,burnt,2006,Inter patch,0.1587892,0.4325714,0.130059
Nwanetsi,burnt,1983,Inter patch,0.06307858,0.3565,0.04825022
Nwanetsi,burnt,2000,Inter patch,0.04288304,-0.1193397,0.04853405
Nwanetsi,burnt,2003,Inter patch,0.0200574,-0.7984801,0.03602851
Nwanetsi,burnt,2006,Inter patch,0.1264762,0.2748032,0.1119102
Skukuza,burnt,1983,Inter patch,0.1436609,0.1477425,0.1472141
Skukuza,burnt,2000,Inter patch,NA,-0.7462357,0.1032854
Skukuza,burnt,2003,Inter patch,0.0713318,-0.2717077,0.0913422
Skukuza,burnt,2006,Inter patch,0.1311123,0.2267007,0.1235153
Dzombo,control,1983,Inter patch,0.2464623,1.001319,0.1411283
Dzombo,control,2000,Inter patch,0.104147,-0.2087974,0.1323988
Dzombo,control,2003,Inter patch,0.07402941,-0.419476,0.1047836
Dzombo,control,2006,Inter patch,0.1468147,0.29661,0.1337904
Numbi,control,1983,Inter patch,0.3044313,1.201474,0.1584436
Numbi,control,2000,Inter patch,0.2335936,-0.3553026,0.3316627
Numbi,control,2003,Inter patch,0.1523831,-0.9999999,0.2876552
Numbi,control,2006,Inter patch,0.2914962,0.7601331,0.2181603
Nwanetsi,control,1983,Inter patch,0.2630229,0.9303757,0.1655004
Nwanetsi,control,2000,Inter patch,0.137891,0.04048732,0.1492577
Nwanetsi,control,2003,Inter patch,0.1128623,0.1853744,0.106311
Nwanetsi,control,2006,Inter patch,NA,1.17484,0.1034904
Skukuza,control,1983,Inter patch,0.2070813,0.2933128,0.1860214
Skukuza,control,2000,Inter patch,0.1084761,-0.2622356,0.1411107
Skukuza,control,2003,Inter patch,NA,-0.9999999,0.1970893
Skukuza,control,2006,Inter patch,0.224485,-0.06149724,0.2663699
