Site,Treat,Year,Metric,Sh,Sc
Dzombo,burnt,1983,Patch size,4.03493,1.381529
Dzombo,burnt,2000,Patch size,4.756476,1.484779
Dzombo,burnt,2003,Patch size,4.77636,1.387954
Dzombo,burnt,2006,Patch size,3.922937,1.956953
Numbi,burnt,1983,Patch size,NA,NA
Numbi,burnt,2000,Patch size,4.366343,1.629315
Numbi,burnt,2003,Patch size,4.650471,1.64954
Numbi,burnt,2006,Patch size,3.518972,1.703771
Nwanetsi,burnt,1983,Patch size,2.6002134,0.9919947
Nwanetsi,burnt,2000,Patch size,3.404407,1.189156
Nwanetsi,burnt,2003,Patch size,2.704384,1.210076
Nwanetsi,burnt,2006,Patch size,3.235297,1.311376
Skukuza,burnt,1983,Patch size,3.342137,2.040614
Skukuza,burnt,2000,Patch size,4.386085,1.375027
Skukuza,burnt,2003,Patch size,4.119856,1.866154
Skukuza,burnt,2006,Patch size,3.612942,1.643995
Dzombo,control,1983,Patch size,2.471139,1.723312
Dzombo,control,2000,Patch size,4.924153,1.650369
Dzombo,control,2003,Patch size,4.918125,1.248442
Dzombo,control,2006,Patch size,4.418729,1.677433
Numbi,control,1983,Patch size,2.62376,2.231674
Numbi,control,2000,Patch size,4.425945,1.410355
Numbi,control,2003,Patch size,4.232209,1.300223
Numbi,control,2006,Patch size,2.780142,1.98257
Nwanetsi,control,1983,Patch size,3.285486,1.816105
Nwanetsi,control,2000,Patch size,3.740647,1.498011
Nwanetsi,control,2003,Patch size,4.411236,1.278555
Nwanetsi,control,2006,Patch size,3.06837,1.861
Skukuza,control,1983,Patch size,3.79902,2.04016
Skukuza,control,2000,Patch size,4.884216,1.38849
Skukuza,control,2003,Patch size,5.65921,1.461667
Skukuza,control,2006,Patch size,3.923646,1.757116
