Site,Treat,Year,Veg,Size,Density
Dzombo,burnt,1983,392662,1798305,0.21835117
Dzombo,burnt,2000,473760,1883093,0.251586087
Dzombo,burnt,2003,455871,1814339,0.251260101
Dzombo,burnt,2006,781549,1847273,0.423082565
Numbi,burnt,1983,296076,1214207,0.243843101
Numbi,burnt,2000,485344,1280022,0.379168483
Numbi,burnt,2003,294942,1279391,0.230533121
Numbi,burnt,2006,397815,1281620,0.310400119
Nwanetsi,burnt,1983,13710,515860,0.026576978
Nwanetsi,burnt,2000,33362,967108,0.034496664
Nwanetsi,burnt,2003,11984,942152,0.012719816
Nwanetsi,burnt,2006,56432,952400,0.059252415
Skukuza,burnt,1983,299964,938203,0.319721851
Skukuza,burnt,2000,298063,963400,0.309386548
Skukuza,burnt,2003,152307,923812,0.16486796
Skukuza,burnt,2006,144254,917189,0.15727838
Dzombo,control,1983,370457,1428650,0.259305638
Dzombo,control,2000,513627,1439783,0.356739175
Dzombo,control,2003,324715,1423152,0.228166071
Dzombo,control,2006,372134,1420519,0.261970449
Numbi,control,1983,1082463,1775307,0.609732852
Numbi,control,2000,1258132,1874816,0.671069588
Numbi,control,2003,1419171,1822785,0.778572898
Numbi,control,2006,904279,1812588,0.49888833
Nwanetsi,control,1983,283773,1016818,0.279079442
Nwanetsi,control,2000,181934,1049267,0.17339152
Nwanetsi,control,2003,164136,1032198,0.159016003
Nwanetsi,control,2006,152507,1033654,0.147541634
Skukuza,control,1983,751221,1216118,0.617720484
Skukuza,control,2000,452034,1216871,0.371472408
Skukuza,control,2003,466553,1234005,0.378080316
Skukuza,control,2006,535626,1268994,0.422087102
