Site,Treat,Plant,Metric,Expe
j1,unint,grass,Inter patch,1.143485
j2,winrem,grass,Inter patch,0.9992238
j3,winint,grass,Inter patch,0.8238156
j4,winrem,grass,Inter patch,0.9688669
j5,sumrem,grass,Inter patch,1.043332
j6,unint,grass,Inter patch,1.226515
j7,winrem,grass,Inter patch,1.067798
j8,unint,grass,Inter patch,0.8931367
j9,sumrem,grass,Inter patch,0.7486654
j10,sumrem,grass,Inter patch,1.039023
j11,sumint,grass,Inter patch,1.105765
j12,unrem,grass,Inter patch,0.8780434
j13,sumint,grass,Inter patch,1.082287
j14,winint,grass,Inter patch,1.069632
j15,unrem,grass,Inter patch,1.208268
j16,sumint,grass,Inter patch,0.996417
j17,unrem,grass,Inter patch,1.29185
j18,winint,grass,Inter patch,0.8951333
j1,unint,veg,Inter patch,0.7300942
j2,winrem,veg,Inter patch,0.5800798
j3,winint,veg,Inter patch,0.4771207
j4,winrem,veg,Inter patch,0.6500807
j5,sumrem,veg,Inter patch,0.6620617
j6,unint,veg,Inter patch,0.647918
j7,winrem,veg,Inter patch,0.6813815
j8,unint,veg,Inter patch,0.6610696
j9,sumrem,veg,Inter patch,0.5750019
j10,sumrem,veg,Inter patch,0.6046358
j11,sumint,veg,Inter patch,0.5565003
j12,unrem,veg,Inter patch,0.6771373
j13,sumint,veg,Inter patch,0.6109447
j14,winint,veg,Inter patch,0.6505028
j15,unrem,veg,Inter patch,0.7010075
j16,sumint,veg,Inter patch,0.6048457
j17,unrem,veg,Inter patch,0.8206536
j18,winint,veg,Inter patch,0.5632395
