Site,Treat,Plant,Metric,Powe,Rate
j1,unint,grass,Patch size,1.873398,1.03E-05
j2,winrem,grass,Patch size,1.786523,0.000430076
j3,winint,grass,Patch size,1.810202,0.000904506
j4,winrem,grass,Patch size,1.807012,5.21E-04
j5,sumrem,grass,Patch size,1.814561,0.000241043
j6,unint,grass,Patch size,1.862828,4.60E-05
j7,winrem,grass,Patch size,1.877199,1.22E-05
j8,unint,grass,Patch size,1.813006,8.89E-05
j9,sumrem,grass,Patch size,1.786971,0.000137694
j10,sumrem,grass,Patch size,1.810894,3.88E-06
j11,sumint,grass,Patch size,1.812567,0.000124427
j12,unrem,grass,Patch size,1.776162,2.04E-05
j13,sumint,grass,Patch size,1.83457,0.000225692
j14,winint,grass,Patch size,1.860724,0.000246684
j15,unrem,grass,Patch size,1.815553,3.12E-05
j16,sumint,grass,Patch size,1.856862,0.000247638
j17,unrem,grass,Patch size,1.861469,4.20E-05
j18,winint,grass,Patch size,1.897923,0.000436995
j1,unint,veg,Patch size,1.643817,6.42E-05
j2,winrem,veg,Patch size,1.467238,0.001151677
j3,winint,veg,Patch size,1.533097,0.000805933
j4,winrem,veg,Patch size,1.423559,0.00147089
j5,sumrem,veg,Patch size,1.507884,0.000914216
j6,unint,veg,Patch size,1.702115,0.000104949
j7,winrem,veg,Patch size,1.635502,0.000163485
j8,unint,veg,Patch size,1.612661,0.000255689
j9,sumrem,veg,Patch size,1.550835,0.000651893
j10,sumrem,veg,Patch size,1.606181,7.15E-05
j11,sumint,veg,Patch size,1.62251,0.000156147
j12,unrem,veg,Patch size,1.659853,7.05E-05
j13,sumint,veg,Patch size,1.558765,0.00051339
j14,winint,veg,Patch size,1.507474,0.000712359
j15,unrem,veg,Patch size,1.630341,0.000115597
j16,sumint,veg,Patch size,1.610305,0.000350868
j17,unrem,veg,Patch size,1.6405,9.09E-05
j18,winint,veg,Patch size,1.568984,0.000702594
