Site,Treat,Plant,Cover,Size,Density
j1,unint,grass,136626,440284,0.310313343
j2,winrem,grass,95098,440847,0.215716564
j3,winint,grass,67507,441890,0.152768789
j4,winrem,grass,91051,439481,0.207178467
j5,sumrem,grass,104562,441929,0.236603617
j6,unint,grass,126824,440424,0.287958876
j7,winrem,grass,137976,441517,0.312504388
j8,unint,grass,113168,443405,0.255224907
j9,sumrem,grass,103342,437419,0.236254026
j10,sumrem,grass,170746,442066,0.386245493
j11,sumint,grass,103619,443857,0.233451314
j12,unrem,grass,153968,445352,0.345722036
j13,sumint,grass,94883,442912,0.214225399
j14,winint,grass,94733,443939,0.21339193
j15,unrem,grass,144827,440918,0.328466971
j16,sumint,grass,86464,441273,0.195942195
j17,unrem,grass,142827,441967,0.323162137
j18,winint,grass,73053,437360,0.167031736
j1,unint,veg,180582,438762,0.411571649
j2,winrem,veg,125984,439777,0.286472462
j3,winint,veg,112031,440690,0.25421725
j4,winrem,veg,126087,438069,0.287824521
j5,sumrem,veg,127378,440606,0.289097289
j6,unint,veg,128070,437701,0.292597001
j7,winrem,veg,152525,440298,0.346413111
j8,unint,veg,150378,442998,0.339455257
j9,sumrem,veg,128833,436832,0.294925738
j10,sumrem,veg,176194,440200,0.400258973
j11,sumint,veg,142095,443252,0.32057385
j12,unrem,veg,166636,444850,0.374589187
j13,sumint,veg,129115,440876,0.292860124
j14,winint,veg,138374,442466,0.312733634
j15,unrem,veg,164502,440177,0.373717845
j16,sumint,veg,120371,439632,0.27379945
j17,unrem,veg,182520,440910,0.413962033
j18,winint,veg,117905,436456,0.270141778
