CL,SCL,ORD,Fam,GEN,SP,REF,NEWREF,FAMLAB,GENLAB,SPLAB,COD,DISPCAT,DISP,MEGAFAUNA,AREA,HABIT,FRUIT,COLOR,COMPCOLOR,LENG,DIAM,FRFM,PDM,SDM,SEEDS,SEEDM,RY,KJG,KJFR,PCW,LIP,PRO,NSC,ASH,FIB,REFERENCE,,,Growth habit,Fruit type,Color,CompColor,Disperser type category,Disperser type,Area
Magnoliopsida,Asteridae,Gentianales,Apocynaceae,Carissa,bispinosa,36,43,APOCYNAC,Carissa,bispinos,CBIS,Mammals,,No,Africa,,Berry2,,,,,,,,,,,16.20,,,0.063,0.040,0.786,0.039,0.073,"Viljoen, S. (1983)",,,,,,,,,
Magnoliopsida,Asteridae,Gentianales,Apocynaceae,Lacmellea,panamensis,3,46,APOCYNAC,Lacmelle,panamens,LPAN,Mammals,,No,NTAmerica,,Berry2,,,,,3.200,0.893,0.345,,,27.9,18.42,16.45,67.6,0.084,0.022,0.876,0.018,,"White, S.C. (1974)",,,,,,,,,
Magnoliopsida,Asteridae,Gentianales,Apocynaceae,Dictyophleba,stipulosa,40,41,APOCYNAC,Dictyoph,stipulos,DSTI,Mammals,,No,Africa,,Berry2,,,,,,,,,,,17.17,,89.0,0.025,0.015,0.949,0.011,,"Sourd, C. and A. Gauthier-Hion (1986)",,,,,,,,,
Magnoliopsida,Asteridae,Gentianales,Apocynaceae,Unident.Apoc.1,speciesxi,40,41,APOCYNAC,Unidenti,speciesx,APOC,Mixed,,No,Africa,,Berry2,,,,,,,,,,,18.12,,87.0,0.060,0.015,0.923,0.002,,"Sourd, C. and A. Gauthier-Hion (1986)",,,,,,,,,
Magnoliopsida,Asteridae,Gentianales,Apocynaceae,Lacmellea,edulis,22,18,APOCYNAC,Lacmelle,edulis,LEDU,Mammals,,No,NTAmerica,,Berry2,,,,,,,,,,,18.21,,67.0,0.036,0.037,0.927,,,"Hladik, A. and C.M. Hladik (1969)",,,,,,,,,
Magnoliopsida,Asteridae,Gentianales,Apocynaceae,Stemmadenia,donnell-smithi,4,27,APOCYNAC,Stemmade,donnell-,SDON,Mixed,,No,NTAmerica,,Aril,,,8.3,3.7,0.173,0.017,0.054,1.0,0.0940,9.8,29.97,0.51,78.5,0.639,0.109,0.085,0.079,,"McDiarmid, R.W., R.E. Ricklefs and M.S. Foster (1977)",,,,,,,,,
Magnoliopsida,Asteridae,Gentianales,Apocynaceae,Ochrosia,ackeringae,73,31,APOCYNAC,Ochrosia,ackering,OACK,Birds,,No,Australasia,,Berry2,,,,,49.460,,,5.8,,,,,,,0.059,,,0.307,"O'Dowd, D.J. and P.S. Lake (1991)",,,,,,,,,
Magnoliopsida,Asteridae,Gentianales,Apocynaceae,Rauvolfia,tetraphylla,38,49,APOCYNAC,Rauvolfi,tetraphy,RTET,Mammals,,No,NTAmerica,,Berry2,,,7.3,8.4,0.315,0.030,0.041,1.9,0.0210,9.7,,,77.5,,,,,,"Herrera, C.M. and P. Jordano (unpubl. data)",,,,,,,,,
Magnoliopsida,Asteridae,Gentianales,Apocynaceae,Landolphia,kirkii,36,43,APOCYNAC,Landolph,kirkii,LKIR,Mammals,,Yes,Africa,,Berry2,,,,,,,,,,,15.86,,,0.019,0.032,0.873,0.045,0.032,"Viljoen, S. (1983)",,,,,,,,,
Magnoliopsida,Asteridae,Gentianales,Apocynaceae,Tabernaemontana,macrocarpa,65,32,APOCYNAC,Tabernae,macrocar,TMAC,Mixed,,No,Australasia,,Berry2,,,,,,,,,,,24.40,,,0.321,0.132,0.547,,,"Pannell, C.M. and M.J. Koziol (1987)",,,,,,,,,
