Date,Group,Sex,Day,Time,Act,TRee,Part,Rate,Spent
23-12-2011,1,F,1,09:00,Mo,NA,NA,NA,5
23-12-2011,1,F,1,09:05,Re,NA,NA,NA,1
23-12-2011,1,F,1,09:06,Ot,NA,NA,NA,1
23-12-2011,1,F,1,09:07,Re,NA,NA,NA,7
23-12-2011,1,F,1,09:14,Fe,BD,UF,2,6
23-12-2011,1,F,1,09:20,Mo,NA,NA,NA,1
23-12-2011,1,F,1,09:21,Re,NA,NA,NA,9
23-12-2011,1,F,1,09:30,Ot,NA,NA,NA,1
23-12-2011,1,F,1,09:31,Re,NA,NA,NA,11
23-12-2011,1,F,1,09:42,Fe,BD,UF,2,15
23-12-2011,1,F,1,09:57,Mo,NA,NA,NA,3
23-12-2011,1,M,1,10:15,Fe,DI,RF,4,3
23-12-2011,1,M,1,10:18,Mo,NA,NA,NA,1
23-12-2011,1,M,1,10:19,Re,NA,NA,NA,13
23-12-2011,1,M,1,10:32,Ot,NA,NA,NA,1
23-12-2011,1,M,1,10:33,Re,NA,NA,NA,8
23-12-2011,1,M,1,10:41,Ot,NA,NA,NA,2
23-12-2011,1,M,1,10:43,Fe,K,pet,8,7
23-12-2011,1,M,1,10:50,Re,NA,NA,NA,13
23-12-2011,1,M,1,11:03,Fe,K,pet,8,12
23-12-2011,1,F,1,11:30,Fe,K,SB,4,4
23-12-2011,1,F,1,11:34,Re,NA,NA,NA,2
23-12-2011,1,F,1,11:36,Ot,NA,NA,NA,2
23-12-2011,1,F,1,11:38,Re,NA,NA,NA,2
23-12-2011,1,F,1,11:40,Ot,NA,NA,NA,14
23-12-2011,1,F,1,11:54,Re,NA,NA,NA,7
23-12-2011,1,F,1,12:01,Fe,K,SB,4,7
23-12-2011,1,F,1,12:08,Re,NA,NA,NA,2
23-12-2011,1,F,1,12:10,Ot,NA,NA,NA,13
23-12-2011,1,F,1,12:23,Re,NA,NA,NA,7
23-12-2011,1,M,1,12:50,Fe,Bhomora,UF,NA,4
23-12-2011,1,M,1,12:54,Re,NA,NA,NA,3
23-12-2011,1,M,1,12:57,Fe,KC,FL,NA,6
23-12-2011,1,M,1,13:03,Mo,NA,NA,NA,2
23-12-2011,1,M,1,13:05,Fe,GH,pet,NA,11
23-12-2011,1,M,1,13:16,Mo,NA,NA,NA,4
23-12-2011,1,M,1,13:20,Fe,Bhomora,Fr,NA,2
23-12-2011,1,M,1,13:22,Re,NA,NA,NA,5
23-12-2011,1,M,1,13:27,Fe,KC,FL,NA,1
23-12-2011,1,M,1,13:28,Re,NA,NA,NA,2
23-12-2011,1,M,1,13:30,Fe,GH,pet,NA,15
23-12-2011,1,M,1,13:45,Re,NA,NA,NA,2
23-12-2011,1,M,1,13:47,Ot,NA,NA,NA,3
23-12-2011,1,F,1,14:05,Fe,LP,YL,NA,10
23-12-2011,1,F,1,14:15,Re,NA,NA,NA,2
23-12-2011,1,F,1,14:17,Mo,NA,NA,NA,1
23-12-2011,1,F,1,14:18,Re,NA,NA,NA,3
23-12-2011,1,F,1,14:21,Fe,HC,Fr,NA,9
23-12-2011,1,F,1,14:30,Fe,BJ,ML,NA,4
23-12-2011,1,F,1,14:34,Mo,NA,NA,NA,2
23-12-2011,1,F,1,14:36,Fe,LP,YL,NA,9
23-12-2011,1,F,1,14:45,Re,NA,NA,NA,4
23-12-2011,1,F,1,14:49,Ot,NA,NA,NA,11
23-12-2011,1,F,1,15:00,Fe,haldhi chapa,fr,NA,4
23-12-2011,1,F,1,15:04,Fe,BJ,ML,NA,1
23-12-2011,1,F,1,15:05,Fe,BJ,ML,NA,0
