Name,Type,sw,sl,fw,fl
FS4,F,24.68,16.5,NA,NA
FS4,F,23.88,17.96,NA,NA
FS4,F,23.98,17,NA,NA
FS4,F,25.96,18.12,NA,NA
PN2,C,23,17.18,NA,NA
PN2,C,21.9,16.76,NA,NA
PN2,C,22.7,16.28,NA,NA
PN2,C,22.42,17.86,NA,NA
PN2,C,26.1,19,NA,NA
PN2,C,23.44,17.14,NA,NA
PN2,C,28,18.78,NA,NA
PN2,C,24.26,15.86,NA,NA
PN2,C,21.96,16.18,NA,NA
PN2,C,19.9,15.5,NA,NA
PN2,C,24.46,16.42,NA,NA
PN2,C,25.24,17.72,NA,NA
PN2,C,25.88,17.98,NA,NA
PN2,C,26.26,18.22,NA,NA
PN2,C,25.4,17.42,NA,NA
PN2,C,22.08,17.08,NA,NA
PN2,C,25.46,18.12,NA,NA
PN2,C,24.66,17.16,NA,NA
PN2,C,24.2,17.94,NA,NA
PN2,C,23.38,17.24,NA,NA
PN2,C,24.08,17.6,NA,NA
PN2,C,24.14,16,NA,NA
PN2,C,21.72,16.22,NA,NA
PN2,C,25,17.68,NA,NA
PN2,C,22.56,18.84,NA,NA
PN2,C,23.56,17.16,NA,NA
PN2,C,26.5,19.1,NA,NA
PN2,C,20.7,15.44,NA,NA
PN2,C,22.9,18,NA,NA
PN2,C,23.44,15.4,NA,NA
PN2,C,23.32,16.46,NA,NA
PN2,C,21.98,17.52,NA,NA
PN2,C,NA,NA,26.54,21.68
PN2,C,NA,NA,30.4,23
PN2,C,NA,NA,30.76,21.72
PN2,C,NA,NA,31.26,24
PN2,C,NA,NA,29.02,21.62
PN2,C,NA,NA,29.46,23.28
PN2,C,NA,NA,29.9,22.54
PN2,C,NA,NA,30.3,22.26
PN2,C,NA,NA,30,22.5
PN2,C,NA,NA,28.78,22.64
PN2,C,NA,NA,29.7,23.14
PN2,C,NA,NA,28.66,21.5
PN2,C,NA,NA,30.34,22.3
PN2,C,NA,NA,30.64,23.5
PN2,C,NA,NA,26.88,20.84
PN2,C,NA,NA,28.96,22.1
PN2,C,NA,NA,28.44,21.34
PN2,C,NA,NA,29.1,21.32
FS1,F,23.72,16.22,NA,NA
FS1,F,19.2,14.44,NA,NA
FS1,F,21.38,14.36,NA,NA
FS1,F,22.56,15.14,NA,NA
FS1,F,20.32,13.7,NA,NA
FS1,F,23.3,15.12,NA,NA
PN5,C,21.42,15.06,NA,NA
PN5,C,21.66,17.08,NA,NA
PN5,C,22.48,18,NA,NA
PN5,C,22.86,17.52,NA,NA
PN5,C,23.1,15.48,NA,NA
PN5,C,21.68,15.2,NA,NA
PN5,C,23.18,14.74,NA,NA
PN5,C,22.88,18.04,NA,NA
PN5,C,23.92,19.4,NA,NA
PN4,C,25.62,18.38,NA,NA
PN4,C,18,12.82,NA,NA
PN4,C,18.3,13.66,NA,NA
PN4,C,21.08,15.32,NA,NA
PN4,C,21.74,14.7,NA,NA
PN4,C,23.42,14.44,NA,NA
PN4,C,24.1,16.36,NA,NA
PN4,C,23.54,15.44,NA,NA
PN4,C,20.26,13.54,NA,NA
PN4,C,20.5,14.4,NA,NA
PN4,C,21.34,13.9,NA,NA
PN4,C,22.12,14.4,NA,NA
PN4,C,20.8,15.42,NA,NA
PN4,C,22.26,14.2,NA,NA
PN4,C,21,13.54,NA,NA
PN4,C,22.72,15.16,NA,NA
PN4,C,22.84,15,NA,NA
PN4,C,21.7,15,NA,NA
PN4,C,NA,NA,26.12,17.5
PN4,C,NA,NA,28.5,20.68
PN4,C,NA,NA,30.18,20.76
PN4,C,NA,NA,24.12,18.16
PN4,C,NA,NA,25.38,17.74
PN4,C,NA,NA,22.46,16.4
PN4,C,NA,NA,25.56,17.46
PN4,C,NA,NA,27.62,19.48
PN8,C,24.38,17.3,NA,NA
PN8,C,26.36,18.54,NA,NA
PN8,C,23.2,15.62,NA,NA
PN8,C,26.94,16.1,NA,NA
PN8,C,24.94,18.24,NA,NA
PN8,C,27.34,18,NA,NA
PN8,C,28.84,18.08,NA,NA
PN8,C,27.36,17.7,NA,NA
PN8,C,26.68,18.86,NA,NA
PN8,C,24.48,16.48,NA,NA
PN8,C,24.4,17.52,NA,NA
PN8,C,29.9,18.42,NA,NA
PN8,C,25.34,18,NA,NA
PN8,C,29.2,18.8,NA,NA
PN8,C,25.64,17.72,NA,NA
PN8,C,25,17.42,NA,NA
PN8,C,25.24,15.72,NA,NA
PN8,C,24.9,16.36,NA,NA
PN8,C,25.46,16.26,NA,NA
PN8,C,26,16.92,NA,NA
PN8,C,27.38,17.2,NA,NA
