Date,Tree,Class,Rad,Crop,s0,s1,s2,s3,s4,Days
18-01-2012,PN5,C,7,20,10,12,20,28,32,42
19-01-2012,PN4,C,5,800,5,10,16,24,28,41
19-01-2012,PN6,C,5,20,5,10,16,24,28,42
19-01-2012,PN1,C,5,900,5,10,16,24,28,40
20-01-2012,PN7,C,5,200,5,10,16,24,28,27
20-01-2012,PN2,C,5,1300,5,10,16,24,28,39
21-01-2012,PN8,C,5,30,5,10,16,24,28,40
21-01-2012,ES1,E,6,NA,7,,,,,38
21-01-2012,FS1,F,15,NA,48,28,32,40,48,25
22-01-2012,PN9,C,6,500,7,12,20,24,32,34
22-01-2012,BEL2,D,7,400,10,12,20,28,32,20
22-01-2012,AIL1,E,7,NA,10,,,,,34
22-01-2012,ES2,E,5,NA,5,,,,,34
23-01-2012,FS2,F,13,NA,40,24,38,36,40,24
23-01-2012,BEL1,D,4,200,4,8,16,24,28,24
23-01-2012,AIL2,E,7,NA,10,,,,,29
23-01-2012,ALT1,E,5,NA,5,,,,,27
24-01-2012,AIL3,E,5,NA,5,,,,,33
24-01-2012,AIL4,E,6,NA,7,,,,,33
24-01-2012,AIL5,E,6,NA,7,,,,,33
24-01-2012,ECC1,D,4,1500,5,8,16,24,28,33
24-01-2012,ECC2,D,4,200,4,8,16,24,28,33
26-01-2012,FS3,F,17,NA,30,30,36,42,48,21
30-01-2012,FS4,F,15,NA,48,28,32,40,48,29
31-01-2012,ECC3,D,3.5,100,4,8,12,20,28,26
16-02-2012,FS5,F,10,NA,20,20,24,32,36,14
23-02-2012,FS6,F,15,NA,48,28,32,40,48,8
24-02-2012,FS7,F,13,NA,40,24,27,36,39,7
