Name,Time,Spe,No,Activity
PN4,645,GB,5,A
PN4,655,GB,1,L
PN4,701,GB,1,L
PN4,712,HM,2,A
PN4,714,HM,2,L
PN4,718,GB,2,L
PN4,726,GB,1,L
PN4,733,GB,2,A
PN4,734,GB,2,A
PN4,738,GB,3,L
PN4,740,GB,1,L
PN4,740,GB,1,A
PN4,741,GB,1,L
PN4,741,GB,1,L
PN4,745,PC,1,A
PN4,750,GB,2,A
PN4,814,BTB,12,A
PN4,820,BTB,12,L
PN4,822,GB,2,L
PN4,832,UN,1,A
PN4,834,GB,1,A
PN4,900,GB,1,L
BEL2,758,PC,3,A
BEL2,805,PC,1,L
BEL2,825,PC,1,A
BEL2,832,PC,1,L
BEL2,837,PC,1,A
BEL2,846,MI,1,A
BEL2,936,PC,5,A
BEL2,938,MI,1,L
BEL2,952,PC,1,L
BEL2,959,PC,1,A
BEL1,700,AM,3,P
BEL1,1000,AB,6,A
BEL1,1010,AB,6,L
PN2,747,GB,1,A
PN2,822,GB,2,A
PN2,902,HM,15,A
PN2,918,GB,1,L
PN2,931,GB,1,L
PN2,933,HM,15,L
PN2,934,GB,2,L
PN2,953,GB,1,A
PN2,954,GB,2,A
PN2,1002,HM,8,A
PN2,1002,GB,3,L
PN2,1010,HM,8,L
ECC1,652,MI,2,A
ECC1,656,MI,2,L
ECC1,805,WH,1,A
ECC1,806,GH,1,A
ECC1,811,GH,1,L
ECC1,816,WH,1,L
ECC1,900,MI,2,A
ECC1,903,MI,1,A
ECC1,904,WH,1,A
ECC1,905,MI,1,L
ECC1,906,WH,2,A
ECC1,915,WH,1,L
ECC1,917,WH,2,L
ECC1,936,WH,1,A
ECC1,953,WH,1,L
ECC1,1022,MI,1,A
FS4,700,GH,2,A
FS4,700,GB,10,A
FS4,740,BTB,20,AL
FS4,740,O,1,AL
FS4,740,HM,5,AL
FS4,818,TH,1,AL
FS4,820,BTB,20,AL
FS4,830,PTGP,4,N
FS4,835,HG,3,A
FS4,837,PTGP,4,L
FS4,837,WTGP,2,L
FS4,925,AB,10,AL
FS4,930,GS,1,AL
FS4,950,HM,15,A
FS4,955,HM,15,L
FS4,958,GH,1,A
FS4,1000,GH,1,A
FS4,1020,RS,1,A
FS4,1023,HS,1,A
PN11,758,HG,2,A
PN11,812,HG,2,L
PN11,812,HG,1,A
PN11,825,HG,1,L
PN8,907,GB,1,A
PN8,910,GB,1,L
PN6,657,MI,3,A
PN6,701,MI,2,A
PN6,702,MI,2,A
PN6,703,MI,2,A
PN6,706,MI,6,L
PN6,708,MI,2,L
PN6,708,MI,7,A
PN6,710,GB,2,L
PN6,720,MI,6,L
PN6,730,MI,6,A
PN6,735,MI,2,L
PN6,753,MI,1,L
PN6,754,MI,3,L
PN6,755,MI,1,L
PN6,756,MI,2,L
PN6,756,MI,6,L
PN6,756,RNH,2,AL
PN6,821,MI,2,A
PN6,821,GB,2,L
PN6,830,MI,1,A
PN6,837,MI,1,L
PN6,843,MI,1,A
PN6,844,RNH,1,A
PN6,844,GB,2,A
PN6,845,MI,1,A
PN6,845,RNH,1,L
PN6,847,GB,2,A
PN6,853,GB,1,A
PN6,853,MI,4,A
PN6,854,GB,1,A
PN6,855,MI,1,A
PN6,856,GB,1,L
PN6,856,MI,1,L
PN6,856,GB,2,L
PN6,856,MI,2,L
PN6,856,MI,5,A
PN6,857,GB,2,L
PN6,857,MI,6,A
PN6,858,MI,1,L
PN6,858,GB,1,L
PN6,859,MI,1,A
PN6,900,MI,3,L
PN6,901,MI,1,L
PN6,902,GB,1,A
PN6,903,MI,2,L
PN6,904,MI,4,A
PN6,915,MI,1,L
PN6,930,MI,1,L
PN6,943,GB,1,A
PN6,944,GB,1,L
PN6,951,GB,1,L
PN6,952,GB,1,A
PN6,1019,GB,1,A
PN6,1019,GB,1,L
PN6,1020,GB,1,L
PN6,1020,GB,1,A
PN6,1021,GB,2,A
PN6,1023,GB,1,A
PN6,1026,GB,1,L
PN6,1027,GB,1,L
PN6,1029,GB,1,L
