"","Date","Group","Sex","Day","Time","Act","Tree","Part","Rate","Spent","Scan"
"5","23-12-2011",1,"F",1,"09:14","Fe","BD","UF","2",6,1
"10","23-12-2011",1,"F",1,"09:42","Fe","BD","UF","2",15,1
"12","23-12-2011",1,"M",1,"10:15","Fe","DI","RF","4",3,2
"18","23-12-2011",1,"M",1,"10:43","Fe","K","pet","8",7,2
"20","23-12-2011",1,"M",1,"11:03","Fe","K","pet","8",12,2
"21","23-12-2011",1,"F",1,"11:30","Fe","K","SB","4",4,3
"27","23-12-2011",1,"F",1,"12:01","Fe","K","SB","4",7,3
"31","23-12-2011",1,"M",1,"12:50","Fe","TB","UF",NA,4,4
"33","23-12-2011",1,"M",1,"12:57","Fe","KC","FL",NA,6,4
"35","23-12-2011",1,"M",1,"13:05","Fe","GH","pet",NA,11,4
"37","23-12-2011",1,"M",1,"13:20","Fe","TB","Fr",NA,2,4
"39","23-12-2011",1,"M",1,"13:27","Fe","KC","FL",NA,1,4
"41","23-12-2011",1,"M",1,"13:30","Fe","GH","pet",NA,15,4
"44","23-12-2011",1,"F",1,"14:05","Fe","LP","YL",NA,10,5
"48","23-12-2011",1,"F",1,"14:21","Fe","HC","Fr",NA,9,5
"49","23-12-2011",1,"F",1,"14:30","Fe","BJ","ML",NA,4,5
"51","23-12-2011",1,"F",1,"14:36","Fe","LP","YL",NA,9,5
"54","23-12-2011",1,"F",1,"15:00","Fe","HC","fr",NA,4,5
"55","23-12-2011",1,"F",1,"15:04","Fe","BJ","ML",NA,1,5
"57","24-12-2011",1,"M",2,"08:00","Fe","BD","UF",NA,20,6
"59","24-12-2011",1,"M",2,"08:40","Fe","BD","UF",NA,8,6
"66","24-12-2011",1,"M",2,"10:05","Fe","BD","UF",NA,4,8
"68","24-12-2011",1,"M",2,"10:13","Fe","K","pet",NA,6,8
"71","24-12-2011",1,"M",2,"10:23","Fe","FG","UF","6",5,8
"73","24-12-2011",1,"M",2,"10:31","Fe","MI","ML","8",6,8
"75","24-12-2011",1,"M",2,"10:41","Fe","BD","UF","3",5,8
"77","24-12-2011",1,"M",2,"10:51","Fe","AL","SP","2",9,8
"78","24-12-2011",1,"F",2,"11:15","Fe","AL","SP","2",7,9
"80","24-12-2011",1,"F",2,"11:25","Fe","K","pet",NA,14,9
"86","24-12-2011",1,"F",2,"12:13","Fe","KC","FL","10",2,9
"87","24-12-2011",1,"M",2,"12:30","Fe","KC","FL","10",10,10
"90","24-12-2011",1,"M",2,"12:43","Fe","HS","Fr","1",4,10
"103","25-12-2011",1,"M",3,"08:49","Fe","K","pet","11",17,11
"105","25-12-2011",1,"M",3,"09:09","Fe","MP","Ml","5",11,11
"106","25-12-2011",1,"F",3,"09:35","Fe","MP","Ml","5",15,12
"113","25-12-2011",1,"F",3,"10:02","Fe","BD","UF","3",10,12
"134","25-12-2011",1,"F",3,"12:51","Fe","LP","ML",NA,4,14
"136","25-12-2011",1,"F",3,"12:58","Fe","BD","UF","2",7,14
"137","25-12-2011",1,"M",3,"13:20","Fe","BD","UF","2",14,15
"146","25-12-2011",1,"M",3,"13:57","Fe","HC","Fr",NA,19,15
"173","26-12-2011",1,"F",4,"10:40","Fe","K","pet",NA,16,17
"174","26-12-2011",1,"F",4,"10:56","Fe","DI","RF",NA,8,17
"179","26-12-2011",1,"M",4,"11:30","Fe","LP","ML","5",5,18
"181","26-12-2011",1,"M",4,"11:38","Fe","LP","ML","5",5,18
"188","26-12-2011",1,"F",4,"12:57","Fe","LP","ML",NA,2,19
"196","26-12-2011",1,"F",4,"13:19","Fe","SM","ML",NA,19,19
