Spe,For,Per,Reg,Le,P
GB,8,25,2,2,S
GB,8,33,2,0,S
GB,5,0,0,2,S
GB,6,0,0,1,S
GB,4,0,0,1,S
GB,9,23,2,2,S
GB,7,19,1,1,S
GB,10,25,1,0,S
GB,9,47,1,1,S
GB,10,39,2,2,S
GB,6,15,1,1,S
GB,7,30,1,0,S
GB,8,29,1,0,S
GB,9,0,0,1,S
GB,8,0,0,2,S
HM,8,9,0,1,S
HM,8,20,14,14,S
HG,14,0,0,2,S
HG,13,0,0,1,S
MI,15,15,0,6,L
MI,15,15,0,2,L
MI,5,35,0,8,L
MI,14,12,0,6,S
MI,5,0,0,6,S
MI,7,16,0,2,S
MI,5,0,0,2,S
MI,14,0,0,2,S
MI,5,0,0,2,S
MI,7,0,0,2,S
MI,13,0,0,1,S
MI,5,0,0,1,S
MI,16,0,0,1,S
GB,7,0,0,1,S
GB,10,0,0,1,S
GB,11,0,0,1,S
