scat,species,tree number,distance,initial density,initial substrate,monitoring ,Total Number,No in initial substrate,Predated,No in Substrate 2,Canopy Density ,Leaf Litter ,No of other seeds
1,PY,2,4.43,5,G,1,5,5,0,NA,99.48,0,6
1,PY,2,4.43,5,G,2,3,3,2,NA,99.48,0,10
1,PY,2,4.43,3,G,3,2,2,1,NA,99.48,0,9
1,PY,2,4.43,2,G,4,2,2,0,NA,99.22,0,1
1,PY,2,4.43,2,G,5,2,2,0,NA,98.96,1.5,1
2,PY,2,3.05,14,G,1,14,14,0,NA,100,2,4
2,PY,2,3.05,14,G,2,12,12,2,NA,100,2,11
2,PY,2,3.05,12,G,3,12,12,0,NA,100,4,7
2,PY,2,3.05,12,G,4,10,10,2,NA,99.74,4,8
2,PY,2,3.05,10,G,5,10,10,0,NA,98.96,5,3
4,PY,2,4.25,16,G,1,16,16,0,NA,90.38,0.75,7
4,PY,2,4.25,16,G,2,16,16,0,NA,90.38,0.75,10
4,PY,2,4.25,16,G,3,16,16,0,NA,90.38,2,7
4,PY,2,4.25,14,G,4,14,14,2,NA,84.92,2,2
4,PY,2,4.25,10,G,5,10,10,4,NA,84.4,2.25,0
6,PY,2,3.71,18,G,1,18,18,9,NA,90.38,2.5,6
6,PY,2,3.71,18,G,2,14,14,4,NA,90.38,2.5,11
6,PY,2,3.71,14,G,3,14,14,0,NA,90.38,2,5
6,PY,2,3.71,14,G,4,14,14,0,NA,89.6,2,2
6,PY,2,3.71,14,G,5,11,11,3,NA,87.26,2.5,2
8,PY,2,1,28,G,1,28,28,0,NA,90.38,2.5,6
8,PY,2,1,28,G,2,25,25,3,NA,95.32,1.25,7
8,PY,2,1,25,G,3,23,23,2,NA,95.32,3,5
8,PY,2,1,23,G,4,20,20,3,NA,95.32,1.5,1
8,PY,2,1,20,G,5,15,15,5,NA,94.28,2,0
9,PY,2,5.23,5,G,1,5,5,0,NA,92.46,3,10
9,PY,2,5.23,5,G,2,5,5,0,NA,92.46,3,13
9,PY,2,5.23,5,G,3,4,4,1,NA,92.46,3,0
9,PY,2,5.23,4,G,4,4,4,0,NA,91.68,3,5
9,PY,2,5.23,4,G,5,4,4,0,NA,89.6,3,2
10,PY,2,7.1,16,G,1,16,16,0,NA,94.54,4.5,3
10,PY,2,7.1,16,G,2,12,12,4,NA,94.54,4.5,6
10,PY,2,7.1,12,G,3,12,12,0,NA,94.54,4.5,1
10,PY,2,7.1,12,G,4,12,12,0,NA,93.76,4.5,3
10,PY,2,7.1,12,G,5,12,12,0,NA,92.46,5,0
13,PY,2,8.42,13,G,1,13,13,0,NA,98.18,2.75,4
13,PY,2,8.42,13,G,2,12,12,1,NA,98.18,2.75,9
13,PY,2,8.42,12,G,3,12,12,0,NA,98.18,2.75,4
13,PY,2,8.42,12,G,4,12,12,0,NA,94.8,1.5,4
13,PY,2,8.42,12,G,5,0,0,12,NA,93.5,1.75,1
14,PY,3,30.97,19,G,1,19,0,0,NA,95.32,2.5,6
