"COMMON.NAME","district.list"
"Alexandrine Parakeet","Nagarkurnool, Mulugu, Warangal Rural, Kumuram Bheem Asifabad, Mancherial, Hyderabad, Ranga Reddy, Vikarabad, Warangal Urban, Bhadradri Kothagudem, Peddapalli, Mahabubabad, Nizamabad, Jangaon, Nirmal, Adilabad, Jagitial, Khammam, Medchal Malkajgiri, Siddipet"
"Alpine Swift","Nagarkurnool, Mancherial, Ranga Reddy, Bhadradri Kothagudem, Mulugu"
"Amur Falcon","Medchal Malkajgiri, Medak, Sangareddy, Ranga Reddy, Vikarabad"
"Amur Paradise-Flycatcher","Bhadradri Kothagudem"
"Ashy Drongo","Nagarkurnool, Hyderabad, Sangareddy, Ranga Reddy, Mulugu, Vikarabad, Kumuram Bheem Asifabad, Medchal Malkajgiri, Nirmal, Mancherial, Medak, Warangal Urban, Mahabubnagar, Bhadradri Kothagudem, Kamareddy, Warangal Rural, Mahabubabad, Jogulamba Gadwal, Nizamabad, Khammam, Nalgonda, Siddipet, Yadadri Bhuvanagiri, Adilabad, Wanaparthy, Jagitial"
"Ashy Minivet","Sangareddy, Bhadradri Kothagudem"
"Ashy Prinia","Hyderabad, Nagarkurnool, Bhadradri Kothagudem, Ranga Reddy, Sangareddy, Mulugu, Medchal Malkajgiri, Mahabubabad, Medak, Kamareddy, Vikarabad, Narayanpet, Warangal Rural, Warangal Urban, Siddipet, Kumuram Bheem Asifabad, Mancherial, Mahabubnagar, Peddapalli, Yadadri Bhuvanagiri, Nalgonda, Nirmal, Nizamabad, Jangaon, Jogulamba Gadwal, Wanaparthy, Khammam, Karimnagar, Rajanna Sircilla, Adilabad, Suryapet, Jagitial, Jayashankar"
"Ashy Woodswallow","Nagarkurnool, Warangal Rural, Ranga Reddy, Sangareddy, Hyderabad, Medchal Malkajgiri, Medak, Nalgonda, Suryapet, Siddipet, Warangal Urban, Mancherial, Kumuram Bheem Asifabad, Nirmal, Bhadradri Kothagudem, Mulugu, Vikarabad, Peddapalli, Mahabubabad, Yadadri Bhuvanagiri, Mahabubnagar, Kamareddy, Nizamabad, Jangaon, Karimnagar, Khammam"
"Ashy-crowned Sparrow-Lark","Nagarkurnool, Bhadradri Kothagudem, Jagitial, Ranga Reddy, Hyderabad, Sangareddy, Medchal Malkajgiri, Mulugu, Medak, Yadadri Bhuvanagiri, Kamareddy, Vikarabad, Mahabubnagar, Nalgonda, Narayanpet, Suryapet, Warangal Rural, Siddipet, Khammam, Nirmal, Mancherial, Jogulamba Gadwal, Mahabubabad, Warangal Urban, Nizamabad, Kumuram Bheem Asifabad, Karimnagar, Wanaparthy, Adilabad, Rajanna Sircilla, Jangaon, Peddapalli"
"Asian Brown Flycatcher","Nagarkurnool, Hyderabad, Ranga Reddy, Sangareddy, Medak, Vikarabad, Nalgonda, Bhadradri Kothagudem, Medchal Malkajgiri, Kumuram Bheem Asifabad, Mancherial, Warangal Rural, Mahabubabad, Nizamabad, Mulugu, Yadadri Bhuvanagiri"
"Asian Emerald Dove","Nagarkurnool, Kumuram Bheem Asifabad, Mulugu, Bhadradri Kothagudem, Warangal Rural, Khammam"
