date,Region.Label,location.id,transect.id,Effort,replications,Total.Effort,Area,latitude,longitude,climate,habitat,common.name,number,activity,micro.habitat,distance,height
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-5,2,4,4,31,,,Sunny,Mangrove,Andaman Stork-billed Kingfisher,1,Flying,Water Edge,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-5,2,4,4,31,,,Sunny,Mangrove,White-bellied Sea-Eagle,2,Flying,Aerial,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-2,2,4,10,31,,,Sunny,Mudflat,Common Sandpiper,1,Feeding,Water Edge,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-5,2,4,4,31,,,Sunny,Mangrove,Changeable Hawk-Eagle,1,Calling,Tree,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-5,2,4,4,31,,,Sunny,Mangrove,White-throated Kingfisher,2,Resting,Tree,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-5,2,4,4,31,,,Sunny,Mangrove,Andaman Collared Kingfisher,1,Resting,Tree,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-5,2,4,4,31,,,Sunny,Mangrove,Andaman Black-naped Oriole,2,Feeding,Tree,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-5,2,4,4,31,,,Sunny,Mangrove,Andaman Coucal,1,Feeding,Water Edge,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-5,2,4,4,31,,,Sunny,Mangrove,Andaman Drongo,2,Resting,Tree,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-5,2,4,4,31,,,Sunny,Mangrove,Blue-tailed Bee-eater,3,Resting,Tree,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-5,2,4,4,31,,,Sunny,Mangrove,Indian White-eye,4,Resting,Tree,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-5,2,4,4,31,,,Sunny,Mangrove,Andaman White rumped Munia,4,Resting,Tree,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-2,2,4,10,31,,,Sunny,Mudflat,Little Egret,1,Standing,Mudflat,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-2,2,4,10,31,,,Sunny,Mudflat,Pacific Reef-Egret,2,Standing,Mudflat,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-2,2,4,10,31,,,Sunny,Mudflat,Grey Heron,1,Standing,Mudflat,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-2,2,4,10,31,,,Sunny,Mudflat,Purple Heron,1,Standing,Mudflat,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-2,2,4,10,31,,,Sunny,Mudflat,Great Egret,3,Standing,Mudflat,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-5,2,4,4,31,,,Sunny,Mangrove,Andaman Striated Heron,1,Standing,Mudflat,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-2,2,4,10,31,,,Sunny,Mudflat,Yellow Bittern,1,Standing,Mudflat,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-2,2,4,10,31,,,Sunny,Mudflat,Andaman Teal,2,Standing,Mudflat,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-5,2,4,4,31,,,Sunny,Mangrove,White-bellied Sea-Eagle,2,Flying,Tree,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-5,2,4,4,31,,,Sunny,Mangrove,Andaman Serpent-Eagle,1,Resting,Tree,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-5,2,4,4,31,,,Sunny,Mangrove,Andaman Crested Serpent-Eagle,1,Resting,Tree,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-5,2,4,4,31,,,Sunny,Mangrove,Chinese Sparrowhawk,1,Standing,Mudflat,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-2,2,4,10,31,,,Sunny,Mudflat,Eurasian Whimbrel,9,Standing,Mudflat,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-2,2,4,10,31,,,Sunny,Mudflat,Eurasian Curlew,2,Standing,Mudflat,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-2,2,4,10,31,,,Sunny,Mudflat,Common Redshank,7,Standing,Mudflat,15,10
8/11/2017,Austin Creek,IN-AN-01 ,IN-AN-01-AS-2,2,4,10,31,,,Sunny,Mudflat,Terek Sandpiper,3,Standing,Mudflat,15,10
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Dark,Evergreen/Semi-Evergreen,Andaman Scops-Owl ,2,Calling,Tree,15,10
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Emerald Dove,2,Feeding,Ground,10,0
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Black-naped Monarch-Flycatcher,2,Feeding,Tree,12,5
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Mangrove,Mangrove Whistler,1,Feeding,Tree,12,5
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Flowerpecker,3,Feeding,Tree,12,5
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Olive backed Sunbird,4,Feeding,Tree,12,5
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Red Collared-Dove,6,Feeding,Ground,10,0
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Collared Kingfisher,3,Resting,Mangrove,15,1
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Indian Hanging Parrot,1,Resting,Death Tree,8,2
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Flowerpecker,2,Feeding,Tree,12,5
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Common Hill Myna,2,Calling,Tree,15,10
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Shama,2,Calling,Tree,10,2
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Bulbul,2,Feeding,Herb,10,1
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Chestnut headed Bee-eater,5,Feeding,Tree,12,5
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Dollarbird,1,Feeding,Tree,12,5
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Freckle-breasted Woodpecker,2,Feeding,Tree,12,5
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Woodpecker,1,Feeding,Tree,12,5
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Barn Swallow,3,Flying,Tree,12,5
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Drongo,2,Resting,Tree,12,8
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Asian Fairy-Bluebird,2,Flying,Tree,12,8
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Racket tailed Drongo,2,Calling,Tree,12,10
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Black-browed Reed-Warbler,1,Calling,Tree,12,10
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Dusky Warbler,1,Calling,Tree,12,10
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Asian Brown Flycatcher,1,Calling,Tree,12,10
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Bulbul,2,Feeding,Tree,12,6
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Red-whiskered Bulbul,6,Feeding,Tree,18,14
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Black-naped Oriole,2,Feeding,Tree,12,6
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Mudflat,Grey Wagtail,1,Feeding,Water Edge,12,6
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Wood-Pigeon,2,Feeding,Tree,12,5
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Red Collared-Dove,9,Feeding,Tree,12,5
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Cuckoo-Dove,2,Feeding,Tree,12,5
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Emerald Dove,4,Feeding,Tree,12,5
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Green-Pigeon,5,Feeding,Tree,12,5
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Andaman Green-Imperial Pigeon,13,Feeding,Tree,12,5
9/10/2018,Austin Strait,IN-AN-01 ,IN-AN-01-AS-1,2,3,4,31,12°53.603'N,92°51.441'E,Sunny,Evergreen/Semi-Evergreen,Besra,2,Flying,Tree,12,5
