Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Year,Time,Protocol,Duration Min,All Obs Reported,Distance Traveled Km,Area Covered Ha,Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S31013292,waterfowl sp.,Anatidae sp.,768,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,8-Aug-16,2016,6:28 AM,eBird - Stationary Count,22,1,,,1,,,Partly cloudy.<br />Submitted from eBird Android 1.2.4,
S67078855,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,4-Apr-20,2020,8:11 AM,eBird - Stationary Count,15,1,,,1,,Call from GKVK campus,,
S66799998,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,8-Apr-20,2020,6:27 AM,eBird - Stationary Count,15,1,,,1,,Calls from GKVK,,
S67293346,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,16-Apr-20,2020,7:59 AM,eBird - Stationary Count,15,1,,,1,,Call from GKVK,,
S67563088,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,21-Apr-20,2020,7:04 AM,eBird - Stationary Count,16,1,,,1,,"Call from far, GKVK",,
S67756691,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,25-Apr-20,2020,7:21 AM,eBird - Stationary Count,15,0,,,1,,Call from far - GKVK,,
S76271822,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,6-May-20,2020,6:52 AM,eBird - Stationary Count,15,1,,,1,,Call,,
S69009863,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,14-May-20,2020,6:57 AM,eBird - Stationary Count,15,1,,,1,,Call,,
S69246396,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,18-May-20,2020,6:54 AM,eBird - Stationary Count,18,1,,,1,,Call,,
S69737901,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,28-May-20,2020,7:09 AM,eBird - Stationary Count,18,1,,,1,,Call,,
S69915042,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,1-Jun-20,2020,6:48 AM,eBird - Stationary Count,16,1,,,1,,Call,,
S70062924,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,5-Jun-20,2020,6:16 AM,eBird - Stationary Count,15,1,,,1,,Call,,
S70226617,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,9-Jun-20,2020,7:21 AM,eBird - Stationary Count,15,1,,,1,,Call,,
S70365547,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,13-Jun-20,2020,6:43 AM,eBird - Stationary Count,15,1,,,1,,Call,,
S84235744,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,28-Mar-21,2021,6:16 AM,eBird - Stationary Count,15,1,,,1,,Call from GKVK,,
S84371497,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,30-Mar-21,2021,6:10 AM,eBird - Stationary Count,15,1,,,1,,Call,,
S88427906,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,18-May-21,2021,7:09 AM,eBird - Stationary Count,15,1,,,1,,Call,,
S88938083,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,25-May-21,2021,7:11 AM,eBird - Stationary Count,15,1,,,1,,Call,,
S89172448,Indian Peafowl,Pavo cristatus,1539,1,IN-KA,Bengaluru Urban,L3887135,"Home - Green Leaf Ignis Apartment, Judicial Layput",13.0798702,77.5839365,29-May-21,2021,6:42 AM,eBird - Stationary Count,15,1,,,1,,Call,,
