day,sex,count
1,male (n = 47),0
1,female (n = 184),0
2,male (n = 47),2
2,female (n = 184),12
3,male (n = 47),4
3,female (n = 184),10
4,male (n = 47),6
4,female (n = 184),8
5,male (n = 47),9
5,female (n = 184),7
6,male (n = 47),11
6,female (n = 184),5
7,male (n = 47),5
7,female (n = 184),11
8,male (n = 47),3
8,female (n = 184),9
9,male (n = 47),1
9,female (n = 184),13
10,male (n = 47),1
10,female (n = 184),17
11,male (n = 47),0
11,female (n = 184),20
12,male (n = 47),1
12,female (n = 184),19
13,male (n = 47),2
13,female (n = 184),18
14,male (n = 47),1
14,female (n = 184),17
15,male (n = 47),1
15,female (n = 184),17
16,male (n = 47),0
16,female (n = 184),1
