day,sex,count
1,male (n = 731),15
1,female (n = 864),60
2,male (n = 731),51
2,female (n = 864),52
3,male (n = 731),41
3,female (n = 864),45
4,male (n = 731),36
4,female (n = 864),50
5,male (n = 731),46
5,female (n = 864),55
6,male (n = 731),59
6,female (n = 864),43
7,male (n = 731),47
7,female (n = 864),51
8,male (n = 731),41
8,female (n = 864),40
9,male (n = 731),45
9,female (n = 864),45
10,male (n = 731),48
10,female (n = 864),60
11,male (n = 731),60
11,female (n = 864),78
12,male (n = 731),61
12,female (n = 864),74
13,male (n = 731),61
13,female (n = 864),68
14,male (n = 731),57
14,female (n = 864),78
15,male (n = 731),58
15,female (n = 864),59
16,male (n = 731),5
16,female (n = 864),6
