cno,dat,ddm,gno,cid,tin,dmr1,dmr2,month,interval,cum.wt,cum.time
2,5/19/2015,5/27/2015,0.1,IC1,1,NA,0.61,May-15,10,0.61,10
2,5/19/2015,5/27/2015,0.1,IC1,2,NA,0.16,May-15,10,0.77,20
2,5/19/2015,5/27/2015,0.1,IC1,3,NA,0.12,May-15,10,0.89,30
2,5/19/2015,5/27/2015,0.1,IC1,4,NA,0.03,May-15,10,0.92,40
2,5/19/2015,5/27/2015,1.1,IC2,1,NA,0.89,May-15,10,0.89,10
2,5/19/2015,5/27/2015,1.1,IC2,2,NA,0.3,May-15,10,1.19,20
2,5/19/2015,5/27/2015,1.1,IC2,3,NA,0.19,May-15,10,1.38,30
2,5/19/2015,5/27/2015,1.1,IC2,4,NA,0.11,May-15,10,1.49,40
2,5/19/2015,5/27/2015,2.1,IC3,1,NA,2.83,May-15,10,2.83,10
2,5/19/2015,5/27/2015,2.1,IC3,2,NA,0.43,May-15,10,3.26,20
2,5/19/2015,5/27/2015,2.1,IC3,3,NA,0.28,May-15,10,3.54,30
2,5/19/2015,5/27/2015,2.1,IC3,4,NA,0.21,May-15,10,3.75,40
2,5/19/2015,5/27/2015,3.1,IC4,1,NA,0.82,May-15,10,0.82,10
2,5/19/2015,5/27/2015,3.1,IC4,2,NA,0.09,May-15,10,0.91,20
2,5/19/2015,5/27/2015,3.1,IC4,3,NA,0.06,May-15,10,0.97,30
2,5/19/2015,5/27/2015,3.1,IC4,4,NA,0.07,May-15,10,1.04,40
2,5/19/2015,5/27/2015,4.1,IC5,1,NA,0.67,May-15,10,0.67,10
2,5/19/2015,5/27/2015,4.1,IC5,2,NA,0.2,May-15,10,0.87,20
2,5/19/2015,5/27/2015,4.1,IC5,3,NA,0.07,May-15,10,0.94,30
2,5/19/2015,5/27/2015,4.1,IC5,4,NA,0.04,May-15,10,0.98,40
2,5/19/2015,5/27/2015,5.1,IC6,1,NA,0.25,May-15,10,0.25,10
2,5/19/2015,5/27/2015,5.1,IC6,2,NA,0.11,May-15,10,0.36,20
2,5/19/2015,5/27/2015,5.1,IC6,3,NA,0.03,May-15,10,0.39,30
2,5/19/2015,5/27/2015,5.1,IC6,4,NA,0.05,May-15,10,0.44,40
2,5/20/2015,5/27/2015,5.2,IC7,1,NA,1.07,May-15,10,1.07,10
2,5/20/2015,5/27/2015,5.2,IC7,2,NA,0.15,May-15,10,1.22,20
2,5/20/2015,5/27/2015,5.2,IC7,3,NA,0.12,May-15,10,1.34,30
2,5/20/2015,5/27/2015,5.2,IC7,4,NA,0.04,May-15,10,1.38,40
2,5/20/2015,5/27/2015,4.2,IC8,1,NA,0.58,May-15,10,0.58,10
2,5/20/2015,5/27/2015,4.2,IC8,2,NA,0.19,May-15,10,0.77,20
2,5/20/2015,5/27/2015,4.2,IC8,3,NA,0.1,May-15,10,0.87,30
2,5/20/2015,5/27/2015,4.2,IC8,4,NA,0.04,May-15,10,0.91,40
2,5/20/2015,5/27/2015,3.2,IC9,1,NA,0.59,May-15,10,0.59,10
2,5/20/2015,5/27/2015,3.2,IC9,2,NA,0.19,May-15,10,0.78,20
2,5/20/2015,5/27/2015,3.2,IC9,3,NA,0.11,May-15,10,0.89,30
2,5/20/2015,5/27/2015,3.2,IC9,4,NA,0.13,May-15,10,1.02,40
2,5/20/2015,5/27/2015,2.2,IC10,1,NA,2.19,May-15,10,2.19,10
2,5/20/2015,5/27/2015,2.2,IC10,2,NA,0.22,May-15,10,2.41,20
2,5/20/2015,5/27/2015,2.2,IC10,3,NA,0.13,May-15,10,2.54,30
2,5/20/2015,5/27/2015,2.2,IC10,4,NA,0.08,May-15,10,2.62,40
2,5/20/2015,5/27/2015,1.2,IC11,1,NA,0.98,May-15,10,0.98,10
2,5/20/2015,5/27/2015,1.2,IC11,2,NA,0.07,May-15,10,1.05,20
2,5/20/2015,5/27/2015,1.2,IC11,3,NA,0.04,May-15,10,1.09,30
