species,family
Common Evening Brown,Nymphalidae
Red Helen,Papilionoidae
Common Fivering,Nymphalidae
Common Cerulean,Lycaenidae
Common Jezebel,Pieridae
Nilgiri Tiger,Nymphalidae
Lesser Gull,Pieridae
Common Fourring,Nymphalidae
Tiny Grass Blue,Lycaenidae
White-Bar Bushbrown,Nymphalidae
Opaque Six-lineblue,Lycaenidae
Dark Evening Brown,Nymphalidae
Blue Admiral,Nymphalidae
Red-disc Bushbrown,Nymphalidae
Transparent Six-line Blue,Lycaenidae
Smaller Dartlet,Hesperiidae
Plum Judy,Riodinidae
Palni Dart,Hesperiidae
Common Jay,Papilionoidae
Quaker,Lycaenidae
Blue Mormon,Papilionoidae
Southern Birdwing,Papilionoidae
Common Sailer,Nymphalidae
Sahyadri Plain Puffin,Pieridae
Chestnut Bob,Hesperiidae
Common Castor,Nymphalidae
Common Hedge Blue,Lycaenidae
Blue Pansy,Nymphalidae
Common Dart,Hesperiidae
Common Bushbrown,Nymphalidae
Sahyadri Cabbage White,Pieridae
Common Crow,Nymphalidae
Glassy Tiger,Nymphalidae
Common Map,Nymphalidae
Malabar Tree Nymph,Nymphalidae
Chocolate Albatross,Pieridae
Dark Cerulean,Lycaenidae
Gladeye Bushbrown,Nymphalidae
Common Lascar,Nymphalidae
Chocolate Pansy,Nymphalidae
Great Orange Tip,Pieridae
Common Small Flat,Hesperiidae
Clipper,Nymphalidae
Lemon Pansy,Nymphalidae
Pygmy Scrub Hopper,Hesperiidae
Paris Peacock,Papilionoidae
Psyche,Pieridae
Great Eggfly,Nymphalidae
Common Mormon,Papilionoidae
Karwar Swift,Hesperiidae
Chestnut-streaked Sailer,Nymphalidae
Dark Palm-Dart,Hesperiidae
Common Line Blue,Lycaenidae
Rustic ,Nymphalidae
Evening Brown Sp,Nymphalidae
Tailed Jay,Papilionoidae
Common Emigrant,Pieridae
Banded Blue Pierrot,Lycaenidae
Zebra Blue,Lycaenidae
Tamil Treebrown,Nymphalidae
Malabar banded Peacock,Papilionoidae
Smooth-eyed Bushbrown,Nymphalidae
Common Rose,Papilionoidae
White Fourring,Nymphalidae
Grey Count,Nymphalidae
Malabar Raven,Papilionoidae
Tamil Yeoman,Nymphalidae
Danaid Eggfly,Nymphalidae
Contiguous Swift,Hesperiidae
Bush Hopper,Hesperiidae
Striped Tiger,Nymphalidae
Brown King Crow,Nymphalidae
Common Albatross,Pieridae
Black Prince,Nymphalidae
Dusky Partwing,Hesperiidae
Common Treebrown,Nymphalidae
Metallic Cerulean,Lycaenidae
Yamfly,Lycaenidae
